,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R2,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R2,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,July_S_3_M_12_so_R1,Aug_S_1_S_12_so_R2,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R2,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
809.258368,5.49729933964546,5.49729933964546,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,5.49729933964546,5.49729933964546,NA,NA,NA,NA
795.2428323,2.61976205359819,2.61976205359819,2.61976205359819,2.61976205359819,2.61976205359819,2.61976205359819,2.61976205359819,2.61976205359819,NA,2.61976205359819,NA,NA,2.61976205359819,2.61976205359819,2.61976205359819,NA,NA,NA,NA,NA,NA,2.61976205359819,NA,NA,NA,NA,NA
813.2535427,NA,3.62302011974077,3.62302011974077,3.62302011974077,3.62302011974077,3.62302011974077,3.62302011974077,NA,NA,3.62302011974077,NA,NA,3.62302011974077,3.62302011974077,NA,3.62302011974077,NA,3.62302011974077,NA,NA,NA,3.62302011974077,NA,NA,NA,NA,NA
675.2724953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1660225759175,3.1660225759175,NA,NA,NA,NA,NA,NA
645.26181,NA,NA,NA,3.55471129925485,NA,NA,NA,3.55471129925485,NA,NA,3.55471129925485,NA,NA,3.55471129925485,NA,NA,NA,3.55471129925485,NA,3.55471129925485,3.55471129925485,NA,3.55471129925485,NA,NA,NA,NA
703.1949281,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,NA,NA,NA,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,NA,3.49296222212871,NA,NA,3.49296222212871,NA,NA,NA,NA,NA
755.247254,NA,1.65086261598231,NA,1.65086261598231,1.65086261598231,1.65086261598231,1.65086261598231,NA,NA,1.65086261598231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
707.1897462,1.35088399237116,NA,1.35088399237116,1.35088399237116,NA,NA,NA,1.35088399237116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35088399237116,NA,NA,NA,NA,NA,NA,NA,NA
695.2261402,4.14528018013601,NA,4.14528018013601,4.14528018013601,4.14528018013601,4.14528018013601,4.14528018013601,NA,NA,4.14528018013601,4.14528018013601,4.14528018013601,4.14528018013601,4.14528018013601,4.14528018013601,NA,4.14528018013601,4.14528018013601,NA,4.14528018013601,4.14528018013601,4.14528018013601,4.14528018013601,NA,NA,NA,4.14528018013601
697.2054029,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,NA,5.40481729446499,5.40481729446499,NA,NA,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,NA,NA,NA,5.40481729446499
