"","Member","Value","Direction","Mass","C","H","O","N","C13","S","P","Na","El_comp","Class","NeutralMass","Error_ppm","Candidates","MolForm","AI","AI_Mod","DBE","DBE_O","DBE_AI","GFE","kmass.CH2","kdefect.CH2","NOSC","OtoC_ratio","HtoC_ratio","NtoC_ratio","PtoC_ratio","NtoP_ratio","bs1_class","bs2_class","bs3_class"
"17","737.2368098",-0.0996168559384407,"Insignificant",737.2368098,49,38,5,0,0,1,0,0,"CHOS",NA,738.2441398,0.12453674,NA,"C49H38O5S",0.581395348837209,0.604395604395604,31,26,25,75.4224489795918,736.41360459201,0.586395407990494,-0.530612244897959,0.102040816326531,0.775510204081633,0,0,NA,"Unsat Hydrocarbon","Cond Hydrocarbon","Other"
"18","777.268632",1.01291470752343,"High",777.268632,52,42,5,0,0,1,0,0,"CHOS",NA,778.275962,0.788960291,NA,"C52H42O5S",0.565217391304348,0.587628865979381,32,27,26,76.7423076923077,776.400726901713,0.599273098286517,-0.576923076923077,0.0961538461538462,0.807692307692308,0,0,NA,"Unsat Hydrocarbon","Unsat Hydrocarbon","Other"
"19","797.2585438",0.699506293088349,"Insignificant",797.2585438,51,42,7,0,0,1,0,0,"CHOS",NA,798.2658738,0.815438128,NA,"C51H42O7S",0.534883720930233,0.56989247311828,31,24,23,74.8294117647059,796.368317787616,0.631682212384021,-0.509803921568627,0.137254901960784,0.823529411764706,0,0,NA,"Unsat Hydrocarbon","Lignin","Other"
"20","809.258368",0.407862150149147,"Insignificant",809.258368,52,42,7,0,0,1,0,0,"CHOS",NA,810.265698,0.642676823,NA,"C52H42O7S",0.545454545454545,0.578947368421053,32,25,24,74.55,808.354742876713,0.645257123287251,-0.5,0.134615384615385,0.807692307692308,0,0,NA,"Unsat Hydrocarbon;Cond Hydrocarbon","Lignin","Other"
"21","795.2428323",0.750793935926427,"Insignificant",795.2428323,51,40,7,0,0,1,0,0,"CHOS",NA,796.2501623,0.797604538,NA,"C51H40O7S",0.558139534883721,0.591397849462366,32,25,24,73.7117647058824,794.354857049084,0.645142950915556,-0.470588235294118,0.137254901960784,0.784313725490196,0,0,NA,"Unsat Hydrocarbon;Cond Hydrocarbon","Cond Hydrocarbon","Other"
"22","813.2535427",0.420848950300653,"Insignificant",813.2535427,51,42,8,0,0,1,0,0,"CHOS",NA,814.2608727,0.9589244,NA,"C51H42O8S",0.523809523809524,0.565217391304348,31,23,22,73.7117647058824,812.345456528952,0.654543471048441,-0.470588235294118,0.156862745098039,0.823529411764706,0,0,NA,"Other","Lignin","Other"
"23","647.241775",2.43337017794702,"Sig. High",647.241775,47,36,1,0,0,1,0,0,"CHOS",NA,648.249105,0.564101414,NA,"C47H36OS",0.622222222222222,0.626373626373626,30,29,28,79.7042553191489,646.519059051845,0.480940948154512,-0.680851063829787,0.0212765957446809,0.765957446808511,0,0,NA,"Other","Cond Hydrocarbon","Other"
"24","703.1949281",1.51340439213517,"High",703.1949281,48,32,4,0,0,1,0,0,"CHOS",NA,704.2022581,0.106510921,NA,"C48H32O4S",0.651162790697674,0.666666666666667,33,29,28,73.3625,702.409734361232,0.590265638768187,-0.458333333333333,0.0833333333333333,0.666666666666667,0,0,NA,"Other","Cond Hydrocarbon","Other"
"25","755.247254",0.39519188824324,"Insignificant",755.247254,49,40,6,0,0,1,0,0,"CHOS",NA,756.254584,-0.037765062,NA,"C49H40O6S",0.547619047619048,0.577777777777778,30,24,23,75.4224489795918,754.403938169118,0.596061830881922,-0.530612244897959,0.122448979591837,0.816326530612245,0,0,NA,"Unsat Hydrocarbon","Unsat Hydrocarbon","Other"
"26","707.1897462",0.282350656663983,"Insignificant",707.1897462,47,32,5,0,0,1,0,0,"CHOS",NA,708.1970762,-0.030380434,NA,"C47H32O5S",0.634146341463415,0.655172413793103,32,27,26,72.4276595744681,706.400091811653,0.599908188346717,-0.425531914893617,0.106382978723404,0.680851063829787,0,0,NA,"Other","Cond Hydrocarbon","Other"
