num.trans.involved.in,sample,peak
41,Abisko,219.0676045
148,Abisko,219.086873
84,Abisko,219.0980993
120,Abisko,219.1021245
39,Abisko,219.1062268
106,Abisko,219.1232661
79,Abisko,219.1385067
45,Abisko,219.1748885
48,Abisko,220.032726
47,Abisko,220.045723
5,Abisko,220.048165
2,Abisko,220.0506254
52,Abisko,220.0538444
66,Abisko,220.0609805
25,Abisko,220.062883
15,Abisko,220.0691715
9,Abisko,220.0722
132,Abisko,220.0821203
34,Abisko,220.090211
20,Abisko,220.1463263
15,Abisko,220.969861
20,Abisko,220.975638
89,Abisko,221.0086134
113,Abisko,221.0297537
166,Abisko,221.0450065
51,Abisko,221.0468854
34,Abisko,221.048376
11,Abisko,221.0595985
133,Abisko,221.0661366
149,Abisko,221.0813901
19,Abisko,221.0832463
84,Abisko,221.0926315
122,Abisko,221.1025315
122,Abisko,221.1177729
85,Abisko,221.1541596
29,Abisko,222.0119661
126,Abisko,222.040265
4,Abisko,222.04361
49,Abisko,222.0483557
92,Abisko,222.0613863
49,Abisko,222.0694928
112,Abisko,222.0766392
12,Abisko,222.0784922
98,Abisko,222.097781
46,Abisko,222.1575107
5,Abisko,222.9470942
81,Abisko,222.9878836
8,Abisko,223.0198469
147,Abisko,223.0242719
3,Abisko,223.0278153
97,Abisko,223.0454011
178,Abisko,223.0606585
113,Abisko,223.0718999
2,Abisko,223.0735138
7,Abisko,223.077756
55,Abisko,223.0817742
126,Abisko,223.0970346
90,Abisko,223.1334367
63,Abisko,223.1698032
2,Abisko,224.01944
66,Abisko,224.0276353
11,Abisko,224.048722
101,Abisko,224.0559007
2,Abisko,224.0606165
78,Abisko,224.0640147
8,Abisko,224.076995
146,Abisko,224.0923009
21,Abisko,224.100372
3,Abisko,224.9471343
13,Abisko,225.00115
125,Abisko,225.0035366
3,Abisko,225.0069839
123,Abisko,225.0399138
51,Abisko,225.0511485
65,Abisko,225.0551733
12,Abisko,225.057051
93,Abisko,225.0610524
181,Abisko,225.0763102
93,Abisko,225.0875363
9,Abisko,225.0891826
7,Abisko,225.0945128
135,Abisko,225.1126884
13,Abisko,225.1239027
100,Abisko,225.1490716
67,Abisko,225.1854583
1,Abisko,226.006583
34,Abisko,226.0068875
110,Abisko,226.0351688
73,Abisko,226.0432839
40,Abisko,226.064402
170,Abisko,226.0715584
51,Abisko,226.0796494
12,Abisko,226.0867887
43,Abisko,226.0908987
119,Abisko,226.107953
73,Abisko,226.1160396
17,Abisko,226.119156
63,Abisko,226.152428
15,Abisko,226.1807005
10,Abisko,226.986215
17,Abisko,227.016772
151,Abisko,227.0191883
23,Abisko,227.0225875
85,Abisko,227.0344391
188,Abisko,227.0555776
131,Abisko,227.0668087
75,Abisko,227.0708388
17,Abisko,227.076673
164,Abisko,227.0919558
4,Abisko,227.102686
121,Abisko,227.1032026
22,Abisko,227.1112825
72,Abisko,227.1283304
83,Abisko,227.1395762
95,Abisko,227.1647254
51,Abisko,227.2011144
153,Abisko,228.0508218
59,Abisko,228.0589153
54,Abisko,228.0620517
6,Abisko,228.0636975
10,Abisko,228.070132
81,Abisko,228.0871944
82,Abisko,228.0953223
36,Abisko,228.0984842
45,Abisko,228.1024642
48,Abisko,228.1065437
120,Abisko,228.123593
77,Abisko,228.1316927
42,Abisko,228.1429291
52,Abisko,228.1599751
61,Abisko,228.168085
17,Abisko,228.2044502
3,Abisko,228.9313038
1,Abisko,228.9396689
15,Abisko,228.9564947
1,Abisko,228.9656312
16,Abisko,228.9661295
16,Abisko,228.974925
103,Abisko,228.9984598
23,Abisko,229.0018322
21,Abisko,229.0113314
92,Abisko,229.0137033
23,Abisko,229.017077
8,Abisko,229.022591
7,Abisko,229.032407
150,Abisko,229.0348459
82,Abisko,229.0460674
117,Abisko,229.0500989
198,Abisko,229.071223
151,Abisko,229.0824587
94,Abisko,229.0864799
120,Abisko,229.1076007
126,Abisko,229.1188474
23,Abisko,229.1269304
62,Abisko,229.1439804
2,Abisko,229.154674
60,Abisko,229.1552277
54,Abisko,229.1803667
1,Abisko,229.4539579
1,Abisko,229.951365
8,Abisko,229.9643268
37,Abisko,230.0215349
67,Abisko,230.0300793
64,Abisko,230.0381988
63,Abisko,230.045338
5,Abisko,230.047181
169,Abisko,230.0664727
43,Abisko,230.0745615
63,Abisko,230.0777048
12,Abisko,230.081687
48,Abisko,230.0858197
135,Abisko,230.1028684
73,Abisko,230.110964
56,Abisko,230.1140854
89,Abisko,230.1392443
55,Abisko,230.1473372
26,Abisko,230.1585817
41,Abisko,230.1837255
2,Abisko,230.9286915
21,Abisko,230.9721562
21,Abisko,230.9817954
17,Abisko,230.99055
23,Abisko,230.9963399
12,Abisko,230.999172
7,Abisko,231.008509
16,Abisko,231.0116893
127,Abisko,231.0141069
21,Abisko,231.0174923
110,Abisko,231.0293499
32,Abisko,231.0312271
169,Abisko,231.0504911
77,Abisko,231.0617118
137,Abisko,231.0657437
10,Abisko,231.067575
162,Abisko,231.0868761
1,Abisko,231.097523
92,Abisko,231.0980981
100,Abisko,231.102134
47,Abisko,231.1062194
130,Abisko,231.1232581
1,Abisko,231.133939
85,Abisko,231.1344964
90,Abisko,231.1596414
5,Abisko,231.8942881
7,Abisko,231.9306615
12,Abisko,231.9800025
2,Abisko,231.9996951
8,Abisko,232.003778
30,Abisko,232.024592
26,Abisko,232.0326966
24,Abisko,232.0371651
140,Abisko,232.0457448
14,Abisko,232.0505037
2,Abisko,232.053768
73,Abisko,232.0610104
25,Abisko,232.0628745
47,Abisko,232.0691086
145,Abisko,232.0821329
61,Abisko,232.0902181
71,Abisko,232.0933572
47,Abisko,232.1014756
8,Abisko,232.1023213
116,Abisko,232.1185055
73,Abisko,232.126612
32,Abisko,232.1337796
40,Abisko,232.1378474
19,Abisko,232.162978
1,Abisko,232.892342
2,Abisko,232.901858
11,Abisko,232.951401
16,Abisko,232.9756046
29,Abisko,232.9878181
3,Abisko,232.99214
103,Abisko,233.0086182
11,Abisko,233.011975
121,Abisko,233.0297517
108,Abisko,233.0449972
37,Abisko,233.0468703
