Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
649.2870657,33,46,13,0,0,0,0,0,CHO,NA,650.2943957,0.76983079,NA,C33H46O13,0,0.169811320754717,11,-2,-2,77.5727272727273,648.562065961978,0.437934038021808,-0.606060606060606,0.393939393939394,1.39393939393939,0,0,NA,Lignin,Lignin,Other
649.3083205,30,50,15,0,0,0,0,0,CHO,NA,650.3156505,0.962703443,NA,C30H50O15,0,0,6,-9,-9,79.3,648.583297028679,0.416702971321342,-0.666666666666667,0.5,1.66666666666667,0,0,NA,Protein,Protein,Other
649.3233839,34,50,12,0,0,0,0,0,CHO,NA,650.3307139,0.666293921,NA,C34H50O12,0,0.142857142857143,10,-2,-2,82.0941176470588,648.598343608752,0.40165639124848,-0.764705882352941,0.352941176470588,1.47058823529412,0,0,NA,Protein,Lignin,Other
649.3597767,35,54,11,0,0,0,0,0,CHO,NA,650.3671067,0.677385121,NA,C35H54O11,0,0.11864406779661,9,-2,-2,86.3571428571429,648.634695772226,0.365304227774004,-0.914285714285715,0.314285714285714,1.54285714285714,0,0,NA,Protein,Protein,Other
649.6739593,0,0,0,0,0,0,0,0,,NA,650.6812893,0,NA,NA,NA,NA,NA,NA,NA,NA,648.948527553128,0.0514724468719123,NA,NA,NA,NA,NA,NA,NA,NA,NA
649.765049,0,0,0,0,0,0,0,0,,NA,650.772379,0,NA,NA,NA,NA,NA,NA,NA,NA,649.039515541555,0.960484458444739,NA,NA,NA,NA,NA,NA,NA,NA,NA
650.1873571,33,33,13,1,0,0,0,0,CHNO,NA,651.1946871,-0.854773785,NA,C33H33O13N,0.210526315789474,0.411764705882353,18,5,4,63.7545454545455,649.461352088558,0.538647911441899,-0.121212121212121,0.393939393939394,1,0.0303030303030303,0,NA,Lignin,Lignin,Other
650.1943563,0,0,0,0,0,0,0,0,,NA,651.2016863,0,NA,NA,NA,NA,NA,NA,NA,NA,649.468343473189,0.531656526811162,NA,NA,NA,NA,NA,NA,NA,NA,NA
650.2156453,0,0,0,0,0,0,0,0,,NA,651.2229753,0,NA,NA,NA,NA,NA,NA,NA,NA,649.489608701701,0.510391298298714,NA,NA,NA,NA,NA,NA,NA,NA,NA
650.223387,42,36,5,0,0,0,1,0,CHOP,NA,651.230717,0.963085185,NA,C42H36O5P,0.541666666666667,0.571428571428571,25.5,20.5,19.5,81.3357142857143,649.49734175725,0.502658242750044,-0.738095238095238,0.119047619047619,0.857142857142857,0,0.0238095238095238,0,Unsat Hydrocarbon,Unsat Hydrocarbon,Phytochemical
