,RCBC,site1,site2
864,-1,17,39
865,-1,17,40
866,-1,17,41
867,-1,17,42
868,-1,17,43
869,-1,17,44
870,-1,17,45
871,-1,17,46
872,1,17,47
873,1,17,48
874,1,17,49
875,1,17,50
876,1,17,51
877,1,17,52
878,1,17,53
879,1,17,54
880,0.92,17,55
881,-0.93,17,56
882,0.52,17,57
883,0.98,17,58
884,1,17,59
885,-1,17,60
886,-1,17,61
887,-1,17,62
888,-1,17,63
889,-1,17,64
890,-1,17,65
891,-1,17,66
892,-1,17,67
893,-1,18,19
894,-1,18,20
895,-1,18,21
896,-1,18,22
897,-1,18,23
898,1,18,24
899,1,18,25
900,1,18,26
901,1,18,27
902,1,18,28
903,1,18,29
904,1,18,30
905,1,18,31
906,1,18,32
907,1,18,33
908,1,18,34
909,1,18,35
910,1,18,36
911,1,18,37
912,1,18,38
913,-1,18,39
914,-1,18,40
915,-1,18,41
916,-1,18,42
917,-1,18,43
918,-1,18,44
919,-1,18,45
920,-1,18,46
921,1,18,47
922,1,18,48
923,1,18,49
924,1,18,50
925,1,18,51
926,1,18,52
927,1,18,53
928,1,18,54
929,1,18,55
930,1,18,56
931,1,18,57
932,1,18,58
933,1,18,59
934,-1,18,60
935,-1,18,61
936,0.98,18,62
937,-1,18,63
938,-1,18,64
939,-1,18,65
940,-0.79,18,66
941,-1,18,67
942,-1,19,20
943,-1,19,21
944,-1,19,22
945,-1,19,23
946,1,19,24
947,1,19,25
948,1,19,26
949,1,19,27
950,1,19,28
951,1,19,29
952,1,19,30
953,1,19,31
954,1,19,32
955,1,19,33
956,1,19,34
957,1,19,35
958,1,19,36
959,1,19,37
960,1,19,38
961,-1,19,39
962,-1,19,40
963,-1,19,41
964,-1,19,42
965,-1,19,43
966,-1,19,44
967,-1,19,45
968,-1,19,46
969,1,19,47
970,1,19,48
971,1,19,49
972,1,19,50
973,1,19,51
974,1,19,52
975,1,19,53
976,1,19,54
977,1,19,55
978,1,19,56
979,1,19,57
980,1,19,58
981,1,19,59
982,-1,19,60
983,-1,19,61
984,-0.17,19,62
985,-1,19,63
986,-1,19,64
987,-1,19,65
988,-1,19,66
989,-1,19,67
990,-1,20,21
991,-1,20,22
992,-1,20,23
993,1,20,24
994,1,20,25
995,1,20,26
996,1,20,27
997,1,20,28
998,1,20,29
999,1,20,30
1000,1,20,31
1001,1,20,32
1002,1,20,33
1003,1,20,34
1004,1,20,35
1005,1,20,36
1006,0.48,20,37
1007,1,20,38
1008,-1,20,39
1009,-1,20,40
1010,-1,20,41
1011,-1,20,42
1012,-1,20,43
1013,-1,20,44
1014,-1,20,45
1015,-1,20,46
1016,1,20,47
1017,1,20,48
1018,1,20,49
1019,1,20,50
1020,1,20,51
1021,1,20,52
1022,1,20,53
1023,1,20,54
1024,0.58,20,55
1025,-0.98,20,56
1026,0.89,20,57
1027,1,20,58
1028,1,20,59
1029,-1,20,60
1030,-1,20,61
1031,-1,20,62
1032,-1,20,63
1033,-1,20,64
1034,-1,20,65
1035,-1,20,66
1036,-1,20,67
1037,-1,21,22
1038,-1,21,23
1039,1,21,24
1040,1,21,25
1041,1,21,26
1042,1,21,27
1043,1,21,28
1044,1,21,29
1045,1,21,30
1046,1,21,31
1047,1,21,32
1048,1,21,33
1049,1,21,34
1050,1,21,35
1051,1,21,36
1052,1,21,37
1053,1,21,38
1054,-1,21,39
1055,-1,21,40
1056,-1,21,41
1057,-1,21,42
1058,-1,21,43
1059,-1,21,44
1060,-1,21,45
1061,-1,21,46
1062,1,21,47
1063,1,21,48
1064,1,21,49
1065,1,21,50
1066,1,21,51
1067,1,21,52
1068,1,21,53
1069,1,21,54
1070,1,21,55
1071,1,21,56
1072,1,21,57
1073,1,21,58
1074,1,21,59
1075,-1,21,60
1076,-1,21,61
1077,0.6,21,62
1078,-1,21,63
1079,-1,21,64
1080,-1,21,65
1081,-0.91,21,66
1082,-1,21,67
1083,-1,22,23
1084,1,22,24
1085,1,22,25
1086,1,22,26
1087,1,22,27
1088,1,22,28
1089,1,22,29
1090,1,22,30
1091,1,22,31
1092,1,22,32
1093,1,22,33
1094,1,22,34
1095,1,22,35
1096,1,22,36
1097,1,22,37
1098,1,22,38
1099,-1,22,39
1100,-1,22,40
1101,-1,22,41
1102,-1,22,42
1103,-1,22,43
1104,-1,22,44
1105,-1,22,45
1106,-1,22,46
1107,1,22,47
1108,1,22,48
1109,1,22,49
1110,1,22,50
1111,1,22,51
1112,1,22,52
1113,1,22,53
1114,1,22,54
1115,1,22,55
1116,1,22,56
1117,1,22,57
1118,1,22,58
1119,1,22,59
1120,-1,22,60
1121,-1,22,61
1122,-0.79,22,62
1123,-1,22,63
1124,-1,22,64
1125,-1,22,65
1126,-0.99,22,66
1127,-1,22,67
1128,1,23,24
1129,1,23,25
1130,1,23,26
1131,1,23,27
1132,1,23,28
1133,1,23,29
1134,1,23,30
1135,1,23,31
1136,1,23,32
1137,1,23,33
1138,1,23,34
1139,1,23,35
1140,1,23,36
1141,1,23,37
1142,1,23,38
1143,-1,23,39
1144,-1,23,40
1145,-1,23,41
1146,-1,23,42
1147,-1,23,43
1148,-1,23,44
1149,-1,23,45
1150,-1,23,46
1151,1,23,47
1152,1,23,48
1153,1,23,49
1154,1,23,50
1155,1,23,51
1156,1,23,52
1157,1,23,53
1158,1,23,54
1159,1,23,55
1160,0.25,23,56
1161,0.99,23,57
1162,1,23,58
1163,1,23,59
1164,-1,23,60
1165,-1,23,61
1166,-1,23,62
1167,-1,23,63
1168,-1,23,64
1169,-1,23,65
1170,-1,23,66
1171,-1,23,67
1172,-1,24,25
1173,1,24,26
1174,-1,24,27
1175,-1,24,28
1176,1,24,29
1177,-1,24,30
1178,-1,24,31
1179,1,24,32
1180,1,24,33
1181,1,24,34
1182,1,24,35
1183,1,24,36
1184,1,24,37
1185,1,24,38
1186,1,24,39
1187,1,24,40
1188,1,24,41
1189,1,24,42
1190,1,24,43
1191,1,24,44
1192,1,24,45
1193,1,24,46
1194,-1,24,47
1195,-1,24,48
1196,1,24,49
1197,-1,24,50
1198,-1,24,51
1199,1,24,52
1200,-1,24,53
1201,1,24,54
1202,1,24,55
1203,1,24,56
1204,1,24,57
1205,1,24,58
1206,-0.42,24,59
1207,1,24,60
1208,1,24,61
1209,1,24,62
1210,1,24,63
1211,1,24,64
1212,1,24,65
1213,1,24,66
1214,1,24,67
1215,-0.95,25,26
1216,-1,25,27
1217,-1,25,28
1218,-1,25,29
1219,-1,25,30
1220,-1,25,31
1221,1,25,32
1222,1,25,33
1223,1,25,34
1224,1,25,35
1225,1,25,36
1226,1,25,37
1227,1,25,38
1228,1,25,39
1229,1,25,40
1230,1,25,41
1231,1,25,42
1232,1,25,43
1233,1,25,44
1234,1,25,45
1235,1,25,46
1236,-1,25,47
1237,-1,25,48
1238,-1,25,49
1239,-1,25,50
1240,-1,25,51
1241,-1,25,52
1242,-1,25,53
1243,1,25,54
1244,1,25,55
1245,1,25,56
1246,1,25,57
1247,1,25,58
1248,0.18,25,59
1249,1,25,60
1250,1,25,61
1251,1,25,62
1252,1,25,63
1253,1,25,64
1254,1,25,65
1255,1,25,66
1256,1,25,67
1257,1,26,27
1258,0.4,26,28
1259,-1,26,29
1260,1,26,30
1261,-0.87,26,31
1262,1,26,32
1263,1,26,33
1264,0.99,26,34
1265,1,26,35
1266,0.96,26,36
1267,-0.89,26,37
1268,1,26,38
1269,1,26,39
1270,1,26,40
1271,1,26,41
1272,1,26,42
1273,1,26,43
1274,1,26,44
1275,1,26,45
1276,1,26,46
1277,1,26,47
1278,-1,26,48
1279,-1,26,49
1280,1,26,50
1281,-0.96,26,51
1282,-1,26,52
1283,-0.93,26,53
1284,1,26,54
1285,0.82,26,55
1286,-0.28,26,56
1287,0.08,26,57
1288,0.2,26,58
1289,1,26,59
1290,1,26,60
1291,1,26,61
1292,0.72,26,62
1293,1,26,63
1294,1,26,64
1295,1,26,65
1296,1,26,66
1297,1,26,67
1298,-1,27,28
1299,0.98,27,29
1300,-1,27,30
1301,-1,27,31
1302,1,27,32
1303,1,27,33
1304,1,27,34
1305,1,27,35
1306,1,27,36
1307,1,27,37
1308,0.93,27,38
1309,1,27,39
1310,1,27,40
1311,1,27,41
1312,1,27,42
1313,1,27,43
1314,1,27,44
1315,1,27,45
1316,1,27,46
1317,-1,27,47
1318,-1,27,48
1319,1,27,49
1320,-1,27,50
1321,-1,27,51
1322,1,27,52
1323,-1,27,53
1324,1,27,54
1325,1,27,55
1326,1,27,56
1327,1,27,57
1328,1,27,58
1329,-0.81,27,59
1330,1,27,60
1331,1,27,61
1332,1,27,62
1333,1,27,63
1334,1,27,64
1335,1,27,65
1336,1,27,66
1337,1,27,67
1338,-1,28,29
1339,-1,28,30
1340,-1,28,31
1341,1,28,32
1342,1,28,33
1343,1,28,34
1344,1,28,35
1345,1,28,36
1346,1,28,37
1347,1,28,38
1348,1,28,39
1349,1,28,40
1350,1,28,41
1351,1,28,42
1352,1,28,43
1353,1,28,44
1354,1,28,45
1355,1,28,46
1356,-1,28,47
1357,-1,28,48
1358,0.12,28,49
1359,-1,28,50
1360,-1,28,51
1361,-0.73,28,52
1362,-1,28,53
1363,1,28,54
1364,1,28,55
1365,1,28,56
1366,1,28,57
1367,1,28,58
1368,-0.06,28,59
1369,1,28,60
1370,1,28,61
1371,1,28,62
1372,1,28,63
1373,1,28,64
1374,1,28,65
1375,1,28,66
1376,1,28,67
1377,0.95,29,30
1378,-1,29,31
1379,1,29,32
1380,1,29,33
1381,1,29,34
1382,1,29,35
1383,1,29,36
1384,0.89,29,37
1385,1,29,38
1386,1,29,39
1387,1,29,40
1388,1,29,41
1389,1,29,42
1390,1,29,43
1391,1,29,44
1392,1,29,45
1393,1,29,46
1394,0.95,29,47
1395,-1,29,48
1396,-1,29,49
1397,1,29,50
1398,-1,29,51
1399,-1,29,52
1400,-1,29,53
1401,1,29,54
1402,1,29,55
1403,1,29,56
1404,1,29,57
1405,1,29,58
1406,0.68,29,59
1407,1,29,60
1408,1,29,61
1409,1,29,62
1410,1,29,63
1411,1,29,64
1412,1,29,65
1413,1,29,66
1414,1,29,67
1415,-1,30,31
1416,1,30,32
1417,1,30,33
1418,1,30,34
1419,1,30,35
1420,1,30,36
1421,1,30,37
1422,1,30,38
1423,1,30,39
1424,1,30,40
1425,1,30,41
1426,1,30,42
1427,1,30,43
1428,1,30,44
1429,1,30,45
1430,1,30,46
1431,-1,30,47
1432,-1,30,48
1433,1,30,49
1434,-1,30,50
1435,-1,30,51
1436,1,30,52
1437,-1,30,53
1438,1,30,54
1439,1,30,55
1440,1,30,56
1441,1,30,57
1442,1,30,58
1443,0.29,30,59
1444,1,30,60
1445,1,30,61
1446,1,30,62
1447,1,30,63
1448,1,30,64
1449,1,30,65
1450,1,30,66
1451,1,30,67
1452,1,31,32
1453,1,31,33
1454,1,31,34
1455,1,31,35
1456,1,31,36
1457,1,31,37
1458,1,31,38
1459,1,31,39
1460,1,31,40
1461,1,31,41
1462,1,31,42
1463,1,31,43
1464,1,31,44
1465,1,31,45
1466,1,31,46
1467,-1,31,47
1468,-1,31,48
1469,-0.99,31,49
1470,-1,31,50
1471,-1,31,51
1472,-1,31,52
1473,-1,31,53
1474,1,31,54
1475,1,31,55
1476,1,31,56
1477,1,31,57
1478,1,31,58
1479,-0.23,31,59
1480,1,31,60
1481,1,31,61
1482,1,31,62
1483,1,31,63
1484,1,31,64
1485,1,31,65
1486,1,31,66
1487,1,31,67
1488,-1,32,33
1489,-1,32,34
1490,-1,32,35
1491,-1,32,36
1492,-1,32,37
1493,-1,32,38
1494,1,32,39
1495,1,32,40
1496,1,32,41
1497,1,32,42
1498,1,32,43
1499,1,32,44
1500,1,32,45
1501,1,32,46
1502,1,32,47
1503,1,32,48
1504,1,32,49
1505,1,32,50
1506,0.98,32,51
1507,1,32,52
1508,1,32,53
1509,-1,32,54
1510,-1,32,55
1511,-1,32,56
1512,-1,32,57
1513,-1,32,58
1514,-1,32,59
1515,1,32,60
1516,1,32,61
1517,0.97,32,62
1518,1,32,63
1519,1,32,64
1520,1,32,65
1521,1,32,66
1522,1,32,67
1523,-1,33,34
1524,-1,33,35
1525,-1,33,36
1526,-1,33,37
1527,-1,33,38
1528,1,33,39
1529,1,33,40
1530,1,33,41
1531,1,33,42
1532,1,33,43
1533,1,33,44
1534,1,33,45
1535,1,33,46
1536,1,33,47
1537,1,33,48
1538,1,33,49
1539,1,33,50
1540,0.85,33,51
1541,1,33,52
1542,1,33,53
1543,-1,33,54
1544,-1,33,55
1545,-1,33,56
1546,-1,33,57
1547,-1,33,58
1548,-1,33,59
1549,1,33,60
1550,1,33,61
1551,0.95,33,62
1552,1,33,63
1553,1,33,64
1554,1,33,65
1555,1,33,66
1556,1,33,67
1557,-1,34,35
1558,-1,34,36
1559,-1,34,37
1560,-1,34,38
1561,1,34,39
1562,1,34,40
1563,0.98,34,41
1564,1,34,42
1565,1,34,43
1566,1,34,44
1567,1,34,45
1568,1,34,46
