,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
28,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,-1,-1,0.4,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.98,-1,0.89,0.98,-0.93,-1,1,1,0.85,1,1,1,0.99,0.84,0.98,1,1,1,1,1,1,1,1,1,-1,-1,0.98,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-0.87,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,1,1,0.98,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,1,1,-1,1,1,-1,-1,-0.65,-1,-1,-0.96,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,1,1,-0.65,1,1,-1,-1,-1,-1,-1,-1,-0.95,-1,-1,1,0.97,1,1,0.48,1,1,1,1,1,-0.89,1,1,0.89,1,1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.97,1,1,-1,1,1,-1,-1,1,-1,-0.99,1,-1,-0.91,0.23,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,1,-1,-1,-1,-1,-1,-0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,1,1,1,1,1,1,1,0.43,1,1,0.12,1,1,0.99,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,1,1,1,1,1,1,1,-0.97,1,0.99,-1,1,0.98,0.37,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,-0.67,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,-1,-1,-1,-1,-1,-0.98,1,1,1,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,0.95,-1,-1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1,-0.81,1,1,0.54,-1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,-1,-1,1,0.12,-1,1,-0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,-1,-1,-1,-1,-1,-1,0.81,0.39,0.23,0.96,0.94,0.93,0.87,0.11,0.33,1,1,1,1,1,1,1,1,-1,-1,-0.96,-1,-1,-1,-1,-1,0.98,0.85,1,0.78,0.23,0.82,0.97,1,1,1,1,1,1,1,1,-1,-1,-0.98,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,-0.93,0.99,1,0.22,-1,1,1,0.57,1,1,0.97,1,0.4,0.64,1,1,1,1,1,1,1,1,1,-1,-1,1,-0.73,-1,1,-1,1,1,1,1,0.99,0.52,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,-1,-1,-0.93,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,1,1,-0.99,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1,1,1,0.45,1,1,-1,-1,-1,-1,-1,-1,-0.85,-1,-1,1,0.92,1,1,0.58,1,1,1,1,1,0.82,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0.38,1,1,-0.27,1,1,1,1,1,1,1,1,1,0.99,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,1,1,0.97,1,1,-1,-1,-1,-1,-1,-1,0.97,-1,-1,1,-0.93,1,1,-0.98,1,1,0.25,1,1,-0.28,1,1,1,1,1,-1,-1,-1,-0.98,-1,-1,1,0.92,-0.34,-1,0.98,0.54,1,1,1,1,1,1,1,0.93,0.98,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1,1,1,0.86,1,1,-1,-1,-1,-1,-1,-1,0.87,-1,-1,1,0.52,1,1,0.89,1,1,0.99,1,1,0.08,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0.99,1,0.07,-0.35,1,1,1,1,1,1,1,1,1,-0.05,0.94,1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,1,1,-0.98,1,1,-1,-1,-1,-1,-1,-1,-0.96,-1,-1,1,0.98,1,1,1,1,1,1,1,1,0.2,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-0.63,1,0.98,0.73,1,1,1,1,1,1,1,1,1,0.2,0.97,1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,-0.71,0.01,-0.2,-1,0.42,0.71,-1,-1,0.99,-1,-1,0.92,-1,-1,-0.51,1,1,1,1,1,1,1,1,-0.42,0.18,1,-0.81,-0.06,0.68,0.29,-0.23,-1,-1,-1,-1,-1,-0.96,-1,1,1,1,1,1,1,1,1,-0.8,0.57,0.94,-0.8,-0.9,0.85,-0.03,-1,-0.69,0.95,0.89,-0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
61,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,-1,NA,NA,NA,NA,NA,NA,NA
62,1,1,1,1,1,1,1,-0.6,-1,1,-1,-1,1,-1,-1,0.81,-1,0.98,-0.17,-1,0.6,-0.79,-1,1,1,0.72,1,1,1,1,1,0.97,0.95,-1,1,0.35,-1,1,-1,-1,-1,-0.99,-1,-0.98,-0.95,-1,1,1,1,1,1,0.97,1,-0.81,-1,-1,-1,-1,1,-0.77,-1,NA,NA,NA,NA,NA,NA
63,1,1,1,1,1,1,1,1,0.89,1,1,0.54,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,0.44,1,1,1,-1,-1,-1,NA,NA,NA,NA,NA
64,1,1,1,1,1,1,1,1,-0.24,1,1,-0.86,1,1,0.71,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.74,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0.88,-0.8,0.86,1,1,-1,-1,-1,-1,NA,NA,NA,NA
65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,NA,NA,NA
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.36,-1,-0.79,-1,-1,-0.91,-0.99,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.99,-0.69,-1,-0.93,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.75,-0.99,-0.89,-1,-0.79,-1,NA,NA
67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,0.44,-1,-1,-1,-0.99,NA
