	20120600_P1S	20120600_P1D	20120600_P2S	20120600_P2M	20120600_P2D	20120600_P3D	20120600_S1S	20120600_S1M	20120600_S1D	20120600_S2S	20120600_S2M	20120600_S2D	20120600_S3S	20120600_S3M	20120600_S3D	20120600_E1S	20120600_E1D	20120600_E2S	20120600_E2M	20120600_E2D	20120600_E3S	20120600_E3M	20120600_E3D	20120700_P1S	20120700_P1M	20120700_P1D	20120700_P2S	20120700_P2M	20120700_P2D	20120700_P3S	20120700_P3M	20120700_S1S	20120700_S1M	20120700_S1D	20120700_S2S	20120700_S2M	20120700_S2D	20120700_S3S	20120700_E1S	20120700_E1M	20120700_E1D	20120700_E2S	20120700_E2D	20120700_E3S	20120700_E3M	20120700_E3D	20120800_P1S	20120800_P1M	20120800_P1D	20120800_P2S	20120800_P2M	20120800_P2D	20120800_P3M	20120800_S1S	20120800_S1M	20120800_S1D	20120800_S2M	20120800_S2D	20120800_S3S	20120800_E1S	20120800_E1M	20120800_E1D	20120800_E2S	20120800_E2M	20120800_E2D	20120800_E3S	20120800_E3M
20120800_P1M	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20120800_P1D	1	-0.81	1	1	0.54	-1	1	1	1	1	1	1	1	0.98	1	1	1	1	1	1	1	1	1	1	-1	-1	1	0.12	-1	1	-0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20120800_P2S	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	0.96	1	1	1	1	1	1	1	1	-1	-1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20120800_P2M	-1	-1	-1	-1	-1	-1	0.81	0.39	0.23	0.96	0.94	0.93	0.87	0.11	0.33	1	1	1	1	1	1	1	1	-1	-1	-0.96	-1	-1	-1	-1	-1	0.98	0.85	1	0.78	0.23	0.82	0.97	1	1	1	1	1	1	1	1	-1	-1	-0.98	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20120800_P2D	1	-0.93	0.99	1	0.22	-1	1	1	0.57	1	1	0.97	1	0.4	0.64	1	1	1	1	1	1	1	1	1	-1	-1	1	-0.73	-1	1	-1	1	1	1	1	0.99	0.52	1	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20120800_P3M	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	-1	-1	-0.93	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20120800_S1S	1	1	1	-0.99	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20120800_S1M	1	1	1	0.45	1	1	-1	-1	-1	-1	-1	-1	-0.85	-1	-1	1	0.92	1	1	0.58	1	1	1	1	1	0.82	1	1	1	1	1	-1	-1	-1	-1	-1	-1	0.38	1	1	-0.27	1	1	1	1	1	1	1	1	1	0.99	1	1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20120800_S1D	1	1	1	0.97	1	1	-1	-1	-1	-1	-1	-1	0.97	-1	-1	1	-0.93	1	1	-0.98	1	1	0.25	1	1	-0.28	1	1	1	1	1	-1	-1	-1	-0.98	-1	-1	1	0.92	-0.34	-1	0.98	0.54	1	1	1	1	1	1	1	0.93	0.98	1	-1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20120800_S2M	1	1	1	0.86	1	1	-1	-1	-1	-1	-1	-1	0.87	-1	-1	1	0.52	1	1	0.89	1	1	0.99	1	1	0.08	1	1	1	1	1	-1	-1	-1	-1	-1	-1	0.99	1	0.07	-0.35	1	1	1	1	1	1	1	1	1	-0.05	0.94	1	-1	-1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20120800_S2D	1	1	1	-0.98	1	1	-1	-1	-1	-1	-1	-1	-0.96	-1	-1	1	0.98	1	1	1	1	1	1	1	1	0.2	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-0.63	1	0.98	0.73	1	1	1	1	1	1	1	1	1	0.2	0.97	1	-1	-1	-1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20120800_S3S	-0.71	0.01	-0.2	-1	0.42	0.71	-1	-1	0.99	-1	-1	0.92	-1	-1	-0.51	1	1	1	1	1	1	1	1	-0.42	0.18	1	-0.81	-0.06	0.68	0.29	-0.23	-1	-1	-1	-1	-1	-0.96	-1	1	1	1	1	1	1	1	1	-0.8	0.57	0.94	-0.8	-0.9	0.85	-0.03	-1	-0.69	0.95	0.89	-0.83	NA	NA	NA	NA	NA	NA	NA	NA	NA
20120800_E1S	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA
20120800_E1M	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	0.95	1	1	1	-1	NA	NA	NA	NA	NA	NA	NA
20120800_E1D	1	1	1	1	1	1	1	-0.6	-1	1	-1	-1	1	-1	-1	0.81	-1	0.98	-0.17	-1	0.6	-0.79	-1	1	1	0.72	1	1	1	1	1	0.97	0.95	-1	1	0.35	-1	1	-1	-1	-1	-0.99	-1	-0.98	-0.95	-1	1	1	1	1	1	0.97	1	-0.81	-1	-1	-1	-1	1	-0.77	-1	NA	NA	NA	NA	NA	NA
20120800_E2S	1	1	1	1	1	1	1	1	0.89	1	1	0.54	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	0.44	1	1	1	-1	-1	-1	NA	NA	NA	NA	NA
