,20120600_P1S,20120600_P1D,20120600_P2S,20120600_P2M,20120600_P2D,20120600_P3D,20120600_S1S,20120600_S1M,20120600_S1D,20120600_S2S,20120600_S2M,20120600_S2D,20120600_S3S,20120600_S3M,20120600_S3D,20120600_E1S,20120600_E1D,20120600_E2S,20120600_E2M,20120600_E2D,20120600_E3S,20120600_E3M,20120600_E3D,20120700_P1S,20120700_P1M,20120700_P1D,20120700_P2S,20120700_P2M,20120700_P2D,20120700_P3S,20120700_P3M,20120700_S1S,20120700_S1M,20120700_S1D,20120700_S2S,20120700_S2M,20120700_S2D,20120700_S3S,20120700_E1S,20120700_E1M,20120700_E1D,20120700_E2S,20120700_E2D,20120700_E3S,20120700_E3M,20120700_E3D,20120800_P1S,20120800_P1M,20120800_P1D,20120800_P2S,20120800_P2M,20120800_P2D,20120800_P3M,20120800_S1S,20120800_S1M,20120800_S1D,20120800_S2M,20120800_S2D,20120800_S3S,20120800_E1S,20120800_E1M,20120800_E1D,20120800_E2S,20120800_E2M,20120800_E2D,20120800_E3S,20120800_E3M
20120700_E3D,11.78196575,10.74410995,11.94078908,13.16785417,7.889692006,10.69799641,11.16059267,7.838389685,6.650772852,13.9603813,9.221720479,7.795286009,12.53094713,7.161222407,5.601519562,-0.533627212,-0.005619336,0.873556599,1.482249467,-0.408019098,2.908769541,0.883946563,0.444229202,12.18250719,6.550125867,10.2112561,11.35280072,8.736147035,9.682080015,10.06812352,9.008160412,13.5242438,11.13671488,3.26070048,12.6188968,8.942718417,9.212761184,13.15604589,0.067144388,-1.438975101,-1.388932461,0.937480129,-1.209489833,1.449264579,0.835905038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_P1S,-1.459029108,-2.836849222,-2.425115474,-3.041481951,-2.522366484,-3.060450675,-0.164947968,-0.303507551,-0.957740552,-2.43290888,-0.274783199,2.076683607,-2.552496911,-0.063686553,-0.191231584,10.78249748,11.59039532,11.24366777,12.56398915,9.59878935,12.14447104,10.58337206,11.26601001,-2.493034416,-2.530078673,-2.655897742,-3.462946775,-3.153960282,-2.486216683,-2.67382915,-3.786530311,-2.162518666,-0.116758823,-0.851437913,-1.87629482,-2.07762879,-0.211922337,-2.251784669,9.929510099,11.69400668,8.06860685,8.74796386,12.10237662,9.868500042,13.20401072,11.65888085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_P1M,-4.64457428,-2.672548628,-3.438597792,-3.542792279,-3.59720334,-2.167729341,-1.968379064,-2.366712513,-2.938885726,-3.586685664,-2.45636638,-1.067410602,-3.985630015,-2.403984719,-1.963378306,9.922236803,10.08377819,10.47165372,10.89446832,8.23071655,11.67933765,9.397440915,10.44790175,-4.204133269,-2.781583421,-2.990187476,-4.355142061,-3.522171913,-2.709694347,-3.874434628,-2.539860282,-2.939887214,-1.815678838,-2.757131984,-3.245112938,-3.782823907,-2.552999731,-3.856675356,8.522413027,10.37982678,6.504789846,6.875622238,10.86709603,9.3569625,11.60099442,11.02358308,-3.973580953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_P1D,-4.60025322,-4.858791087,-3.941175384,-4.972469342,-4.501352197,-3.921713472,-3.380181823,-3.30454541,-2.654663924,-3.646826521,-3.507606807,-1.805739059,-4.396302513,-2.869747747,-2.290585865,8.762497807,7.477418374,9.04594077,9.69400249,7.041283942,10.00077852,7.554062952,8.403057759,-4.375878058,-3.841107852,0.31898895,-4.569009315,-5.068287634,-1.94044267,-4.449484692,-4.545900765,-3.663631453,-3.115800265,-2.78197558,-3.520208937,-3.738128051,-3.391075629,-4.438854756,7.846332648,7.680190679,5.274109521,6.145481464,9.014752919,7.690845797,10.92362834,9.004612478,-3.947709026,-3.74796981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_P2S,-3.594386942,-4.987302286,-3.456398572,-3.943032875,-3.5261783,-4.528547813,-1.522092342,-1.906830799,-2.765514429,-3.868227549,-2.121967552,-0.018588568,-3.705379139,-1.734676365,-1.452321569,10.03918829,11.41557569,10.61269883,11.79281548,8.613160433,11.77792159,10.56807898,10.98143235,-2.479292398,-3.14425412,-4.18828377,-1.504893812,-3.795308795,-4.375808358,-2.254592644,-4.589920587,-3.59313514,-1.23540209,-2.50380022,-3.434790271,-3.29046961,-2.079406446,-3.47054053,9.310452839,11.26771681,7.641063491,7.708567972,11.34532772,9.852428614,12.49521243,11.54369386,-3.183463235,-5.101775699,-5.217694948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_P2M,-3.360595106,-2.621223831,-2.927033727,-2.161537495,-2.647490571,-2.746873914,-2.664342416,-3.035758736,-3.756171544,-3.906574075,-2.4213987,-1.431410953,-4.431305094,-2.654063026,-1.865599875,8.135737055,8.425843112,8.951172554,9.306294227,7.220910011,9.602812303,8.197379101,9.801925559,-3.36644563,-1.545610818,-4.732455194,-3.577683724,-2.015357039,-3.891850802,-3.147663998,-1.788929919,-3.480135354,-1.775327787,-2.510591831,-3.677105084,-4.075381122,-3.621991907,-4.325635926,7.158874514,7.956779345,4.673195288,5.795129355,8.524776165,7.038638689,10.53258022,8.41862156,-3.151259485,-2.051672929,-4.015941949,-4.085664781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_P2D,-3.638004225,-3.973225109,-3.070010947,-4.072284521,-3.842657329,-2.670759709,-2.493563175,-2.692256547,-2.099423161,-2.4037102,-2.614190846,-1.087986317,-3.287420172,-2.19971602,-1.673442486,6.666896432,6.89875835,6.894278978,7.144917502,6.497644849,7.759998612,6.724618803,7.674040713,-3.614576678,-3.2108559,-2.280668955,-3.844062685,-4.256376279,-2.214122483,-3.613621278,-3.837341513,-2.196297653,-2.115730962,-1.829299437,-2.782916731,-2.862183851,-2.403368983,-3.364502457,5.740191574,5.65607051,3.548051475,4.520602674,7.079170356,6.677410586,8.775173633,7.053423731,-3.284352638,-3.088335235,-1.479974338,-4.135372405,-3.967659298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_P3M,-3.846298119,-2.904778407,-3.179976111,-2.826405544,-2.235997668,-2.797332116,-2.09570486,-2.169595735,-3.919591759,-4.013845039,-2.50330303,-1.356087334,-4.577858098,-2.407747489,-2.082555099,9.863249241,9.873882096,10.55479797,10.59735866,7.734990174,11.397713,9.416243188,10.32304079,-3.612119038,-1.230886114,-4.449587005,-3.281559772,-2.064504863,-3.51867973,-2.877354774,-2.312784284,-3.63728207,-1.81881885,-2.907141814,-3.876424577,-3.577151328,-3.305126902,-4.049947484,8.172717208,9.763713302,5.478871005,6.187702096,9.687418276,8.615181885,11.09554076,10.10325446,-3.24093093,-2.752730811,-4.728080789,-4.14356585,-1.765273252,-3.747277912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_S1S,-1.068452971,-3.17281967,-0.734636934,-1.919612916,-3.056723053,-2.967504914,-1.4914438,-1.622916868,-1.331914457,1.182667288,-0.102732301,-0.321915861,-2.389295549,-0.624263613,-0.832957273,10.2707205,8.527547799,11.62182317,11.46858422,7.942009256,13.34198062,8.218981482,8.680287279,-0.93473608,-2.792307158,-1.690478426,-1.951447906,-3.679835799,-2.169687704,-2.41177222,-2.604707064,-1.62489329,-1.572229387,-0.675285461,1.049420736,-1.615608432,-0.995947066,-1.313643836,8.231890218,7.733747176,8.977839936,7.400496504,10.75338348,10.69529787,12.52299866,12.7316295,-0.924022525,-2.746926111,-3.072546649,-2.506856806,-2.813265223,-1.916835024,-3.155459212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_S1M,-0.395068022,-1.973599692,-1.223437323,-0.759944887,-1.771904602,-2.17947705,-1.15925138,-1.35626159,-2.782562749,-1.782962632,0.990494915,-1.418316773,-2.377933893,-1.105670407,-2.019279961,6.438537534,8.130108333,8.522311533,8.54667259,8.707066176,8.827078476,5.915448142,7.844632628,-0.658636208,-1.951008225,-2.042960791,-0.911355249,-1.968592894,-2.054354716,-1.213164737,-1.557257768,-1.915208745,-0.242799324,-0.425186409,-1.955763039,-1.472416122,-1.032861029,-2.085370845,6.751020888,6.876286045,6.937054215,5.15846923,9.017601959,7.466959788,11.32075257,8.554935426,0.241502361,-1.762697817,-2.732960974,-1.114497726,-1.647011102,-2.026940251,-2.001842329,-0.715346782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_S1D,1.191696683,-0.526626315,0.628674902,0.308848737,-0.769113629,-1.20586444,-0.247899209,-1.03747287,-1.65828083,0.162672513,0.560507932,2.01232659,-0.896310074,0.582179275,0.3669957,5.044265871,6.183699664,7.725101291,7.527135448,7.686063121,7.270712865,3.922706903,6.572607626,1.067558301,-1.073992247,-0.358090661,1.069661699,-0.870532934,-0.691893593,0.630804698,-0.612351561,-1.770713356,0.864112125,-1.506817948,-0.086425905,-0.319376436,0.703957323,0.415849335,3.295657031,4.73992501,5.226005126,3.886924936,5.031528584,3.737001697,8.450582607,4.627909769,2.334153685,-0.744802396,-1.598744144,0.527040008,-0.978193987,-0.58850662,-1.094264129,-0.217643005,-0.810703671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_S2M,-0.390277242,-0.674150128,0.377494332,0.31576815,-0.832447206,-1.200991636,-2.017039653,-1.976839048,-1.323404541,-2.128302633,-0.941076272,-1.475589146,-2.165124569,-0.132499392,0.135609039,2.777238353,8.015030225,5.688115623,6.846626978,6.770503271,4.282827044,3.732987949,4.382722616,0.084211119,-1.025366262,-1.520035629,0.106168672,-0.735443147,-1.259253031,-0.34034503,-0.678295763,-2.279216049,-1.263159254,-0.48603628,-1.788210179,-2.139592388,-0.310681725,-2.24626056,5.728143475,6.372474968,4.549352355,2.239749468,6.32906434,3.601225197,9.441131451,4.070412229,0.012732586,-0.780793688,-1.582045953,-0.126830715,-0.129662941,-1.476022431,-0.772733808,-1.140748753,-1.190944711,-0.482231236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_S2D,0.001305482,-1.256604348,0.271483529,-0.02450386,-1.434506752,-2.131348681,-1.947901925,-0.99912881,-2.064369316,-1.883688755,-0.717149496,-1.276705502,-2.5631303,-0.413233011,-0.655806593,6.232104368,9.299216712,8.935131787,9.17849427,8.177979379,8.986540181,5.954123527,9.101383441,0.041546505,-1.524334288,-1.979101438,-0.839302506,-1.734909322,-1.883358264,-1.21754412,-1.277451345,-1.835592263,-0.120793291,-0.17176797,-2.104159875,-1.492911893,-1.889927335,-2.434584856,5.717143616,8.0901441,6.880706553,3.608503072,6.378888074,6.970035627,12.83894618,7.446662646,0.259687524,-1.705793886,-2.908536955,-0.869913869,-0.869363385,-2.254959672,-1.629045379,-0.869535442,-1.603931351,0.181590295,1.149636675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_S3S,-3.030205008,-4.359220741,-2.855912578,-4.116765358,-4.360971851,-3.766771586,-2.011443664,-2.606189714,-2.26442807,-3.68569625,-1.680345051,-0.428647768,-1.859912725,-1.828060724,-1.756786486,8.984513595,9.560361412,9.748227695,10.27323717,8.925504456,10.34070561,8.905000068,10.1564358,-3.696529012,-3.905940479,-3.616904818,-3.87393217,-5.136038821,-3.63356798,-4.160557986,-4.668019505,-2.781325969,-1.484431062,-1.419994615,-3.455303979,-2.65059188,-1.975135955,-2.60296458,8.128310368,8.314070882,6.032185839,6.349088766,9.4492803,8.989042406,12.18040869,9.959082917,-3.177617826,-4.242033153,-4.4712024,-4.141917088,-4.916709241,-3.748717054,-4.808120833,-2.725330751,-1.619225389,0.119604465,-1.963526214,-2.063326098,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120800_E1S,7.759984894,9.424141069,8.349657283,9.20743061,7.200975227,8.329690967,8.183812825,5.571374802,4.559487406,10.24926878,7.112614962,4.899871575,9.676905783,5.282625263,4.988897346,-1.119690371,-0.507068817,-1.178704815,-0.138249382,-0.694159469,0.411841141,0.344675362,1.361256335,8.951790608,5.385354444,8.627060972,7.859009614,6.989510956,7.722624919,7.634480128,7.728966761,9.570168026,8.005784685,1.963801665,9.796741603,6.556300156,6.342662283,9.974078266,-0.091155583,0.358278731,0.600036134,0.36484111,0.574457599,-0.371228744,0.051544858,0.602120724,8.76769497,8.657699117,6.702080981,8.293794591,7.351699137,5.528612177,9.0138522,9.451174825,5.622349086,3.590697888,2.494865107,5.575586842,7.059773597,NA,NA,NA,NA,NA,NA,NA,NA
20120800_E1M,10.99165817,12.25303983,11.05132452,12.25567127,9.553994748,10.16822112,7.80134907,4.663089151,5.187275967,10.30314151,7.411480208,4.976361363,10.45944335,4.946418466,4.559075523,-1.474661545,-0.527278095,-1.603015492,-0.03019496,-0.759183635,1.372477037,0.232020484,-0.267850467,12.04285293,6.898598727,9.697416414,10.76054107,8.791578884,8.816716189,9.871968895,10.21719817,9.930337545,7.798717432,1.254422941,9.49175203,6.012834917,7.264021911,10.48675619,1.13030583,0.078892888,-0.342970066,-0.882029451,-1.52153064,-1.261150488,0.812708781,-0.899404951,11.91844412,10.37156759,8.298805944,11.07372284,9.316298669,6.710306077,11.17018595,8.371970597,6.276991624,3.563841296,2.881794898,4.93175411,8.335535433,-1.375583613,NA,NA,NA,NA,NA,NA,NA
20120800_E1D,4.560270521,2.214520479,6.214066228,4.374347873,0.954190208,3.186059016,4.002097079,3.311147945,2.40736353,6.039139296,4.599225698,3.340895582,4.714588398,3.647129361,2.683725673,-0.819204639,0.114592454,0.53987698,1.376456147,-0.1810269,0.897388717,-0.539242811,0.359752753,4.905885037,0.865631015,3.210094036,4.588847771,1.301460529,2.488480513,3.899149833,1.057502446,5.286375979,4.503946189,3.985565166,4.70077005,3.321731757,4.247639717,5.538204359,-1.659787471,0.744460949,-1.733610554,-2.707766086,-1.950199356,-1.306059999,0.952511313,-2.088144427,4.948499017,2.900503812,2.024357305,3.887515357,1.536494451,1.532927544,1.750256976,5.751324905,3.954173137,3.135748135,2.539069936,4.70191107,3.046286871,-1.495528784,-1.750871405,NA,NA,NA,NA,NA,NA
20120800_E2S,8.618913622,8.024516553,9.390501423,9.767645381,5.64636337,7.092466525,6.489410463,3.951882363,5.699105075,7.926312339,5.266388101,7.921022998,8.330902908,4.145518611,3.351906723,-1.110953931,-1.565100201,0.71375151,2.229434636,-0.326107944,2.592845948,0.546414588,2.021121799,9.254983665,5.073370536,7.403740328,8.534305966,6.088169452,6.489732953,7.837512079,6.337424563,8.258895283,6.601897048,1.77244651,7.945199804,4.804128151,7.692704564,8.63699322,-2.098523156,-2.430786531,-0.180395801,-0.543601789,1.843324407,0.387693051,2.0446645,1.326172881,9.458202294,7.670232219,6.919815234,8.605728468,6.186291732,5.007084926,6.932054604,7.338362507,6.10657122,5.459512378,5.35769511,6.052470022,6.860179182,-0.709371732,-1.980872644,-1.788753588,NA,NA,NA,NA,NA
20120800_E2M,9.154242834,8.952465958,8.912827831,10.39371103,7.023826009,7.596528944,6.788975172,4.103304501,5.291235685,8.301408816,5.703739794,7.512647637,9.347651744,4.457705041,5.097772487,-0.533462154,-1.58002786,0.403102422,0.825825783,0.676364797,2.655933117,1.532932836,2.60402849,10.04847312,5.53501661,7.491211623,9.093762012,6.89653144,6.550210906,8.505133124,7.574152308,8.504697112,7.116607998,2.25197128,8.355761947,4.918645542,7.560966226,8.987232383,-1.543216403,-2.058034378,0.250957929,0.199867603,0.717053269,-0.559164929,1.203622459,1.042715166,10.3981758,7.930340548,7.287504522,9.147290544,7.089330004,5.147442233,7.884215057,7.506835436,6.645365667,6.73018885,5.071449834,5.955630077,7.471770095,-0.305799021,-1.743489733,-0.809846961,-0.289100253,NA,NA,NA,NA
20120800_E2D,12.79789003,12.15315811,13.16566861,12.35206784,8.451624067,11.12935571,9.645868205,6.060609984,6.790564492,12.51671065,9.05063987,7.534863164,12.23016559,6.213401995,5.491825748,2.765127421,2.271579611,2.763091525,2.829457059,4.009877479,2.626755385,1.991204817,3.747414656,12.81093284,7.242536011,10.59475159,11.46380925,7.943369316,9.175233128,10.88518974,8.953560659,11.62080427,9.398456106,5.800475275,10.88823088,7.445874656,10.14631508,12.44270911,1.396587342,2.308690161,2.392042658,1.114214498,2.604087119,1.59581564,3.528247697,1.081906544,13.24924905,11.08085267,9.824393344,12.12330189,8.995242571,7.041848333,10.24087121,10.41026627,8.099857069,8.057241357,5.028922274,5.965949444,9.590330706,1.259791913,1.54051233,0.338164959,3.382382905,3.134222927,NA,NA,NA
20120800_E3S,10.17848783,10.81469674,9.932451058,11.40850956,8.338692371,8.615065276,10.50430805,7.518032666,4.399249183,12.15330939,9.264596589,5.359078002,12.60712363,6.71135107,5.505785158,3.32696901,0.709998631,3.411873913,3.719430122,4.511252981,3.955431717,3.598516107,4.355399866,10.23462689,7.166773263,9.989847611,8.923553423,7.905354854,8.76827538,8.324518292,8.104328012,9.824684642,10.04580215,4.808287886,11.22578068,8.63220801,6.577337928,11.92342272,3.513716811,3.830991338,2.538797265,2.989831106,2.708031151,4.873385303,7.542776211,2.5111018,9.95943941,9.423189185,8.400499234,9.975163519,8.612559548,6.887734797,9.176134884,9.390028407,5.541835714,4.498489532,3.467424982,7.170179434,9.634510394,2.479026479,3.139221295,0.560859004,3.382141497,4.180050124,1.851430338,NA,NA
20120800_E3M,10.36902921,10.1111963,10.87118934,12.47279598,8.264460915,9.461517569,10.61937898,7.953490414,7.343769316,12.76617531,10.3329291,7.346872166,12.39182375,8.151503955,7.273820699,-0.180035221,-0.303728713,-0.031170611,-1.078526587,0.911658567,0.233626744,0.763188337,1.57252674,11.66620851,6.581588865,9.599722699,10.98776893,9.356523028,9.121859845,10.34787412,9.023234535,13.08185492,10.32849046,4.08162923,12.44036861,8.803589935,10.04670026,12.41238107,0.330792987,-0.549060276,0.014427373,0.709074016,1.83653954,1.141035315,1.254886466,1.806925329,11.17013036,10.3623582,8.773568021,10.96185708,8.269152942,6.735356712,10.37157688,12.73512392,8.834696235,6.315863924,4.607635544,8.524099129,9.556556027,-0.727696092,-0.018984572,0.014541988,2.119080635,0.985708367,0.790978391,4.405177211,NA
