Member,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
737.2368098,-0.099616856,Insignificant,737.2368098,49,38,5,0,0,1,0,0,CHOS,NA,738.2441398,0.12453674,NA,C49H38O5S,0.581395349,0.604395604,31,26,25,75.42244898,736.4136046,0.586395408,-0.530612245,0.102040816,0.775510204,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
777.268632,1.012914708,High,777.268632,52,42,5,0,0,1,0,0,CHOS,NA,778.275962,0.788960291,NA,C52H42O5S,0.565217391,0.587628866,32,27,26,76.74230769,776.4007269,0.599273098,-0.576923077,0.096153846,0.807692308,0,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
797.2585438,0.699506293,Insignificant,797.2585438,51,42,7,0,0,1,0,0,CHOS,NA,798.2658738,0.815438128,NA,C51H42O7S,0.534883721,0.569892473,31,24,23,74.82941176,796.3683178,0.631682212,-0.509803922,0.137254902,0.823529412,0,0,NA,Unsat Hydrocarbon,Lignin,Other
809.258368,0.40786215,Insignificant,809.258368,52,42,7,0,0,1,0,0,CHOS,NA,810.265698,0.642676823,NA,C52H42O7S,0.545454545,0.578947368,32,25,24,74.55,808.3547429,0.645257123,-0.5,0.134615385,0.807692308,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Lignin,Other
795.2428323,0.750793936,Insignificant,795.2428323,51,40,7,0,0,1,0,0,CHOS,NA,796.2501623,0.797604538,NA,C51H40O7S,0.558139535,0.591397849,32,25,24,73.71176471,794.354857,0.645142951,-0.470588235,0.137254902,0.784313725,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Cond Hydrocarbon,Other
813.2535427,0.42084895,Insignificant,813.2535427,51,42,8,0,0,1,0,0,CHOS,NA,814.2608727,0.9589244,NA,C51H42O8S,0.523809524,0.565217391,31,23,22,73.71176471,812.3454565,0.654543471,-0.470588235,0.156862745,0.823529412,0,0,NA,Other,Lignin,Other
647.241775,2.433370178,Sig. High,647.241775,47,36,1,0,0,1,0,0,CHOS,NA,648.249105,0.564101414,NA,C47H36OS,0.622222222,0.626373626,30,29,28,79.70425532,646.5190591,0.480940948,-0.680851064,0.021276596,0.765957447,0,0,NA,Other,Cond Hydrocarbon,Other
703.1949281,1.513404392,High,703.1949281,48,32,4,0,0,1,0,0,CHOS,NA,704.2022581,0.106510921,NA,C48H32O4S,0.651162791,0.666666667,33,29,28,73.3625,702.4097344,0.590265639,-0.458333333,0.083333333,0.666666667,0,0,NA,Other,Cond Hydrocarbon,Other
755.247254,0.395191888,Insignificant,755.247254,49,40,6,0,0,1,0,0,CHOS,NA,756.254584,-0.037765062,NA,C49H40O6S,0.547619048,0.577777778,30,24,23,75.42244898,754.4039382,0.596061831,-0.530612245,0.12244898,0.816326531,0,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
707.1897462,0.282350657,Insignificant,707.1897462,47,32,5,0,0,1,0,0,CHOS,NA,708.1970762,-0.030380434,NA,C47H32O5S,0.634146341,0.655172414,32,27,26,72.42765957,706.4000918,0.599908188,-0.425531915,0.106382979,0.680851064,0,0,NA,Other,Cond Hydrocarbon,Other
695.2261402,0.46851434,Insignificant,695.2261402,47,36,4,0,0,1,0,0,CHOS,NA,696.2334702,-0.050917255,NA,C47H36O4S,0.595238095,0.613636364,30,26,25,76.06595745,694.4498445,0.550155519,-0.553191489,0.085106383,0.765957447,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
697.2054029,0.199867233,Insignificant,697.2054029,46,34,5,0,0,1,0,0,CHOS,NA,698.2127329,-0.021298668,NA,C46H34O5S,0.6,0.623529412,30,25,24,73.93043478,696.4268971,0.573102881,-0.47826087,0.108695652,0.739130435,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
713.236651,-0.334761646,Insignificant,713.236651,47,38,5,0,0,1,0,0,CHOS,NA,714.243981,-0.093629069,NA,C47H38O5S,0.56097561,0.586206897,29,24,23,76.06595745,712.4402446,0.559755416,-0.553191489,0.106382979,0.808510638,0,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
675.1998749,-0.433423651,Insignificant,675.1998749,47,32,3,0,0,1,0,0,CHOS,NA,676.2072049,-0.122238549,NA,C47H32O3S,0.651162791,0.662921348,32,29,28,74.85319149,674.4459407,0.554059312,-0.510638298,0.063829787,0.680851064,0,0,NA,Other,Cond Hydrocarbon,Other
689.2155115,-0.552412117,Insignificant,689.2155115,48,34,3,0,0,1,0,0,CHOS,NA,690.2228415,-0.111614073,NA,C48H34O3S,0.636363636,0.648351648,32,29,28,75.7375,688.4459273,0.554072697,-0.541666667,0.0625,0.708333333,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
705.2104365,-13.43191577,Sig. Low,705.2104365,48,34,4,0,0,1,0,0,CHOS,NA,706.2177665,-0.094318943,NA,C48H34O4S,0.627906977,0.644444444,32,28,27,74.55,704.4229922,0.577007773,-0.5,0.083333333,0.708333333,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
663.2361662,-0.090347997,Insignificant,663.2361662,47,36,2,0,0,1,0,0,CHOS,NA,664.2434962,-0.237506514,NA,C47H36O2S,0.613636364,0.622222222,30,28,27,78.49148936,662.4955908,0.504409228,-0.638297872,0.042553191,0.765957447,0,0,NA,Other,Cond Hydrocarbon,Other
683.2260042,-0.483928851,Insignificant,683.2260042,46,36,4,0,0,1,0,0,CHOS,NA,684.2333342,-0.2178161,NA,C46H36O4S,0.585365854,0.604651163,29,25,24,76.40869565,682.4631079,0.53689206,-0.565217391,0.086956522,0.782608696,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
699.2209271,-0.395618559,Insignificant,699.2209271,46,36,5,0,0,1,0,0,CHOS,NA,700.2282571,-0.200894565,NA,C46H36O5S,0.575,0.6,29,24,23,75.16956522,698.4401708,0.559829234,-0.52173913,0.108695652,0.782608696,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
709.2052689,-0.460500129,Insignificant,709.2052689,47,34,5,0,0,1,0,0,CHOS,NA,710.2125989,-0.20961467,NA,C47H34O5S,0.609756098,0.632183908,31,26,25,73.64042553,708.413364,0.586636039,-0.468085106,0.106382979,0.723404255,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
691.1947105,-0.450139917,Insignificant,691.1947105,47,32,4,0,0,1,0,0,CHOS,NA,692.2020405,-0.205911273,NA,C47H32O4S,0.642857143,0.659090909,32,28,27,73.64042553,690.4229163,0.577083689,-0.468085106,0.085106383,0.680851064,0,0,NA,Other,Cond Hydrocarbon,Other
693.2103594,-13.42992973,Sig. Low,693.2103594,47,34,4,0,0,1,0,0,CHOS,NA,694.2176894,-0.206998895,NA,C47H34O4S,0.619047619,0.636363636,31,27,26,74.85319149,692.4363145,0.56368548,-0.510638298,0.085106383,0.723404255,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
