Member,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
679.282594,2.303215834,Sig. High,679.282594,26,51,17,1,0,0,1,0,CHNOP,NA,680.289924,0.601568925,NA,C26H51O17NP,0,0,2.5,-14.5,-16.5,81.12692308,678.524101,0.475899013,-0.730769231,0.653846154,1.961538462,0.038461538,0.038461538,1,Other,Amino Sugar,Other
669.261915,2.029018913,Sig. High,669.261915,24,49,18,1,0,0,1,0,CHNOP,NA,670.269245,0.694770593,NA,C24H49O18NP,0,0,1.5,-16.5,-18.5,78.1125,668.5146112,0.485388833,-0.625,0.75,2.041666667,0.041666667,0.041666667,1,Carbohydrate,Carbohydrate,Other
685.3084717,2.072527578,Sig. High,685.3084717,29,53,15,1,0,0,1,0,CHNOP,NA,686.3158017,0.679115968,NA,C29H53O15NP,0,0,4.5,-10.5,-12.5,84.86896552,684.5432501,0.456749862,-0.862068966,0.517241379,1.827586207,0.034482759,0.034482759,1,Protein,Protein,Lipid
705.298294,1.723173096,High,705.298294,28,53,17,1,0,0,1,0,CHNOP,NA,706.305624,0.650111394,NA,C28H53O17NP,0,0,3.5,-13.5,-15.5,81.675,704.5107516,0.489248376,-0.75,0.607142857,1.892857143,0.035714286,0.035714286,1,Other,Amino Sugar,Other
657.3135419,2.750861782,Sig. High,657.3135419,28,53,14,1,0,0,1,0,CHNOP,NA,658.3208719,0.684925099,NA,C28H53O14NP,0,0,3.5,-10.5,-12.5,87.78214286,656.5795797,0.420420273,-0.964285714,0.5,1.892857143,0.035714286,0.035714286,1,Protein,Protein,Lipid
669.34992,1.992334153,High,669.34992,30,57,13,1,0,0,1,0,CHNOP,NA,670.35725,0.661643219,NA,C30H57O13NP,0,0,3.5,-9.5,-11.5,91.65,668.6025179,0.3974821,-1.1,0.433333333,1.9,0.033333333,0.033333333,1,Protein,Protein,Lipid
701.3397375,2.143935348,Sig. High,701.3397375,30,57,15,1,0,0,1,0,CHNOP,NA,702.3470675,0.614786219,NA,C30H57O15NP,0,0,3.5,-11.5,-13.5,87.85,700.5566153,0.443384716,-0.966666667,0.5,1.9,0.033333333,0.033333333,1,Protein,Protein,Lipid
629.2095875,2.673101919,Sig. High,629.2095875,24,41,16,1,0,0,1,0,CHNOP,NA,630.2169175,0.900774866,NA,C24H41O16NP,0,0,5.5,-10.5,-12.5,73.3625,628.5070065,0.492993546,-0.458333333,0.666666667,1.708333333,0.041666667,0.041666667,1,Amino Sugar,Amino Sugar,Other
687.2878033,1.765703207,High,687.2878033,28,51,16,1,0,0,1,0,CHNOP,NA,688.2951333,0.774663022,NA,C28H51O16NP,0,0,4.5,-11.5,-13.5,81.675,686.5203716,0.479628401,-0.75,0.571428571,1.821428571,0.035714286,0.035714286,1,Other,Amino Sugar,Lipid
695.2928953,2.732001732,Sig. High,695.2928953,30,51,15,1,0,0,1,0,CHNOP,NA,696.3002253,0.775267297,NA,C30H51O15NP,0,0,6.5,-8.5,-10.5,82.15,694.516525,0.483474958,-0.766666667,0.5,1.7,0.033333333,0.033333333,1,Protein,Protein,Lipid
677.24594,2.035359725,Sig. High,677.24594,29,45,15,1,0,0,1,0,CHNOP,NA,678.25327,0.78831535,NA,C29H45O15NP,0,0,8.5,-6.5,-8.5,77.00689655,676.4897211,0.510278867,-0.586206897,0.517241379,1.551724138,0.034482759,0.034482759,1,Protein,Protein,Lipid
647.1990542,2.210410044,Sig. High,647.1990542,27,39,15,1,0,0,1,0,CHNOP,NA,648.2063842,0.924254548,NA,C27H39O15NP,0,0,9.5,-5.5,-7.5,71.91111111,646.476386,0.523614046,-0.407407407,0.555555556,1.444444444,0.037037037,0.037037037,1,Lignin;Amino Sugar,Lignin,Lipid
717.277166,2.490171241,Sig. High,717.277166,32,49,15,1,0,0,1,0,CHNOP,NA,718.284496,0.64117955,NA,C32H49O15NP,0,0,9.5,-5.5,-7.5,79.003125,716.4762479,0.523752091,-0.65625,0.46875,1.53125,0.03125,0.03125,1,Protein,Protein,Lipid
735.287758,2.000692469,Sig. High,735.287758,32,51,16,1,0,0,1,0,CHNOP,NA,736.295088,0.662592168,NA,C32H51O16NP,0,0,8.5,-7.5,-9.5,79.003125,734.4667291,0.533270879,-0.65625,0.5,1.59375,0.03125,0.03125,1,Protein,Protein,Lipid
719.2930474,2.060968505,Sig. High,719.2930474,32,51,15,1,0,0,1,0,CHNOP,NA,720.3003774,0.960591316,NA,C32H51O15NP,0,0,8.5,-6.5,-8.5,80.784375,718.4898784,0.510121643,-0.71875,0.46875,1.59375,0.03125,0.03125,1,Protein,Protein,Lipid
733.272317,1.695352742,High,733.272317,32,49,16,1,0,0,1,0,CHNOP,NA,734.279647,0.949131186,NA,C32H49O16NP,0,0,9.5,-6.5,-8.5,77.221875,732.4535386,0.54646142,-0.59375,0.5,1.53125,0.03125,0.03125,1,Protein,Protein,Lipid
665.2822886,2.30257939,Sig. High,665.2822886,29,49,14,1,0,0,1,0,CHNOP,NA,666.2896186,0.747036764,NA,C29H49O14NP,0,0,6.5,-7.5,-9.5,82.90344828,664.5394285,0.460571547,-0.793103448,0.482758621,1.689655172,0.034482759,0.034482759,1,Protein,Protein,Lipid
685.287393,1.674468635,High,685.287393,32,49,13,1,0,0,1,0,CHNOP,NA,686.294723,0.753019675,NA,C32H49O13NP,0,0.042553191,9.5,-3.5,-5.5,82.565625,684.522195,0.477805025,-0.78125,0.40625,1.53125,0.03125,0.03125,1,Protein,Protein,Lipid
693.3137131,1.798088348,High,693.3137131,31,53,14,1,0,0,1,0,CHNOP,NA,694.3210431,0.896107743,NA,C31H53O14NP,0,0,6.5,-7.5,-9.5,85.12258065,692.5395528,0.460447186,-0.870967742,0.451612903,1.709677419,0.032258065,0.032258065,1,Protein,Protein,Lipid
701.282412,1.627586431,High,701.282412,32,49,14,1,0,0,1,0,CHNOP,NA,702.289742,0.88449476,NA,C32H49O14NP,0,0.02173913,9.5,-4.5,-6.5,80.784375,700.4993538,0.500646206,-0.71875,0.4375,1.53125,0.03125,0.03125,1,Protein,Protein,Lipid
671.29291,2.367377657,Sig. High,671.29291,28,51,15,1,0,0,1,0,CHNOP,NA,672.30024,0.824758744,NA,C28H51O15NP,0,0,4.5,-10.5,-12.5,83.71071429,670.5433383,0.45666166,-0.821428571,0.535714286,1.821428571,0.035714286,0.035714286,1,Protein,Protein,Lipid
709.3296965,2.305505448,Sig. High,709.3296965,28,57,17,1,0,0,1,0,CHNOP,NA,710.3370265,0.790539512,NA,C28H57O17NP,0,0,1.5,-15.5,-17.5,85.74642857,708.5376526,0.462347376,-0.892857143,0.607142857,2.035714286,0.035714286,0.035714286,1,Other,Amino Sugar,Other
