OTU,New_ID
Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.24_90.12_0.10,micro1218
20120500_P13_9,micro1217
20120800_P1D_3,micro1216
20120600_P3M_1,micro1215
20110700_P3D_13,micro1214
20160700_P15_8,micro1213
20110800_P3M_18,micro1212
20120500_P31_6,micro1211
20110700_P2M_2,micro1210
20110600_P1M_6,micro1209
20120700_P3S_3,micro1208
20170700_P24_4,micro1207
20111000_S3S_8,micro1206
20120600_S2M_11,micro1205
20110800_S1S_8,micro1204
Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.63_96.30_0.08,micro1203
PLTN01,micro1202
20150700_P15_1,micro1201
20120700_S1D_69,micro1200
20140700_S21_17,micro1199
20150700_P11_6,micro1198
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.296_95.83_0.00,micro1197
20110600_P1M_7,micro1196
20150700_P21_8,micro1195
Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.126_94.83_0.00,micro1194
20110600_P1M_10,micro1193
20120500_P34_3,micro1192
20110600_P1D_5,micro1191
20110800_P1M_28,micro1190
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.196_83.72_2.78,micro1189
20120600_P3M_3,micro1188
Palsa.Labelled.R3.T1.F3.trimmomatic.metaspades_bin.55_77.93_0.93,micro1187
20120700_S1S_1,micro1186
20110800_S3S_12,micro1185
20110600_P1D_12,micro1184
20111000_P1M_8,micro1183
20111000_P3M_32,micro1182
20110600_P1M_13,micro1181
20110800_P1M_8,micro1180
20120600_P2S_3,micro1179
Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.122_84.22_0.85,micro1178
20111000_S3S_7,micro1177
20120600_P1M_1,micro1176
20120600_P2M_10,micro1175
20120600_P2S_4,micro1174
20120800_E3X_6,micro1173
20120500_P19_10,micro1172
3300037076_20,micro1171
20110800_E3D_26,micro1170
20130700_C2X_3,micro1169
20120800_E2D_22,micro1168
20120800_E2D_3,micro1167
3300037141_6,micro1166
3300038457_7,micro1165
20120700_P3D_129,micro1164
20120700_P3D_48,micro1163
20130700_C1X_5,micro1162
PMCS01,micro1161
Bog.None.R3.T0.JGI.BFC.metaspades_bin.267_72.59_8.57,micro1160
Bog.None.R1.T0.trimmomatic.megahit_bin.19_85.66_3.93,micro1159
20120800_E3X_23,micro1158
20120800_E1X_20,micro1157
20120800_E3X_26,micro1156
PLNR01,micro1155
20120800_E1X_12,micro1154
3300037089_15,micro1153
PMCA01,micro1152
3300038473_8,micro1151
20120600_E1D_17,micro1150
PLLH01,micro1149
3300037156_13,micro1148
3300037054_4,micro1147
20120700_P3D_47,micro1146
3300037076_21,micro1145
20120600_E3D_14,micro1144
3300037132_8,micro1143
20120700_P3D_26,micro1142
20110800_S3S_4,micro1141
20170700_S25_23,micro1140
3300031524_30,micro1139
Bog.None.R1.T0.trimmomatic.megahit_bin.299_95.52_4.31,micro1138
3300037231_17,micro1137
Bog.None.R2.T0.trimmomatic.megahit_bin.9_79.17_4.70,micro1136
20110700_P2D_15,micro1135
20130700_C2M_8,micro1134
20140700_S36_11,micro1133
Fen.Unlabelled.R1.T2.F4.trimmomatic.metaspades_bin.48_89.46_5.98,micro1132
3300036884_7,micro1131
20110800_E2D_34,micro1130
20120700_S1D_103,micro1129
20120700_S1D_24,micro1128
20120700_S1D_26,micro1127
20120700_S1D_39,micro1126
20111000_P3M_39,micro1125
20120700_P3D_82,micro1124
20120700_P3D_134,micro1123
PLYM01,micro1122
PLDW01,micro1121
20110800_E3D_35,micro1120
20110800_E2D_26,micro1119
3300036886_10,micro1118
20110800_E2D_3,micro1117
PMYM01,micro1116
PMBX01,micro1115
20120700_S1D_30,micro1114
20100900_E1D_4,micro1113
Bog.None.R3.T0.trimmomatic.megahit_bin.83_78.97_4.55,micro1112
Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.39_97.73_0.57,micro1111
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.97_73.23_1.91,micro1110
20130700_P1Y_5,micro1109
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.263_87.12_8.86,micro1108
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.137_79.13_4.55,micro1107
20120700_P2D_5,micro1106
20120500_P31_8,micro1105
PMBP01,micro1104
PLLM01,micro1103
3300037225_17,micro1102
20120800_E2D_13,micro1101
PLLP01,micro1100
20120800_E2X_21,micro1099
3300037109_9,micro1098
3300037105_13,micro1097
20120700_S1D_73,micro1096
Bog.None.R1.T0.trimmomatic.megahit_bin.314_85.82_2.79,micro1095
Bog.None.R3.T0.JGI.BFC.metaspades_bin.34_94.27_1.08,micro1094
20110800_E3D_11,micro1093
Palsa.Unlabelled.R1.T3.F1.trimmomatic.megahit_bin.10_70.35_4.99,micro1092
PLSG01,micro1091
PLXY01,micro1090
Bog.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.4_76.39_0.68,micro1089
PLXF01,micro1088
20110800_E1D_4,micro1087
20160700_E23_26,micro1086
Bog.None.R1.T0.trimmomatic.megahit_bin.118_76.60_1.35,micro1085
20120600_E1D_37,micro1084
20120800_E3X_3,micro1083
20120800_E1D_15,micro1082
20120600_E2D_7,micro1081
20130700_C1Y_5,micro1080
20130700_C1D_8,micro1079
PMBT01,micro1078
20150700_P15_9,micro1077
Bog.None.R2.T0.trimmomatic.megahit_bin.75_88.18_7.24,micro1076
Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.99_87.92_0.00,micro1075
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.84_95.68_9.76,micro1074
PLXR01,micro1073
3300037349_9,micro1072
Bog.None.R3.T0.JGI.BFC.metaspades_bin.123_97.95_1.37,micro1071
3300037180_6,micro1070
PLTZ01,micro1069
Bog.None.R1.T0.trimmomatic.megahit_bin.27_76.49_0.00,micro1068
PLXS01,micro1067
Bog.None.R3.T0.JGI.BFC.metaspades_bin.344_98.63_5.75,micro1066
Bog.Unlabelled.R3.T3.F3.trimmomatic.megahit_bin.151_70.18_0.00,micro1065
Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.180_95.25_4.11,micro1064
3300037361_6,micro1063
Fen.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.13_89.21_3.77,micro1062
20130700_C1D_9,micro1061
20130700_C2X_6,micro1060
20120700_P3D_21,micro1059
Bog.None.R1.T0.trimmomatic.megahit_bin.240_81.43_2.70,micro1058
3300037049_8,micro1057
20150700_S25_3,micro1056
20120700_S1D_98,micro1055
20120700_S1D_89,micro1054
20170700_S24_4,micro1053
20110800_S1S_18,micro1052
20120700_S1D_29,micro1051
20110800_S3D_14,micro1050
20170700_S24_8,micro1049
PLGF01,micro1048
20170700_S25_32,micro1047
20110800_P3S_5,micro1046
20110600_P3S_14,micro1045
3300038478_6,micro1044
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.218_92.57_6.03,micro1043
20150700_P13_2,micro1042
20150700_P15_12,micro1041
20110800_P1D_37,micro1040
20110700_S2D_14,micro1039
20170700_S34_41,micro1038
20120800_E1D_21,micro1037
20170700_S34_36,micro1036
20120700_S1D_61,micro1035
20111000_P2D_16,micro1034
20120700_P3D_91,micro1033
20120800_E1X_7,micro1032
20120700_P3D_7,micro1031
20120800_E1X_6,micro1030
20120700_P3D_105,micro1029
20111000_P3M_17,micro1028
20120600_E1D_13,micro1027
20120700_S2X_13,micro1026
20160700_S11_6,micro1025
3300036929_5,micro1024
20110600_S1D_11,micro1023
PMZK01,micro1022
20120500_P26_12,micro1021
20110700_P2D_27,micro1020
20130700_S2Y_8,micro1019
20120800_E1D_8,micro1018
20150700_E14_13,micro1017
3300037085_4,micro1016
20130700_E1X_5,micro1015
20120700_S1D_85,micro1014
20150700_S15_1,micro1013
3300037228_7,micro1012
Bog.None.R2.T0.JGI.BFC.metaspades_bin.304_97.97_7.51,micro1011
20150700_E14_5,micro1010
Bog.None.R3.T0.JGI.BFC.metaspades_bin.159_94.12_4.05,micro1009
20160700_E23_20,micro1008
20110700_P2D_8,micro1007
20120700_P3D_117,micro1006
20120700_S1D_9,micro1005
Bog.Unlabelled.R2.T2.F1.JGI.BFC.metaspades_bin.57_88.81_1.01,micro1004
Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.91_72.76_1.72,micro1003
20120800_E1D_7,micro1002
20120700_P3D_112,micro1001
Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.100_87.84_4.05,micro1000
20120700_P3D_1,micro999
20110800_S3S_23,micro998
20140700_S21_13,micro997
20120700_S1D_67,micro996
20120700_S1D_108,micro995
20120700_S1D_49,micro994
20111000_P3D_2,micro993
20120700_P3D_43,micro992
Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.8_92.23_3.04,micro991
20160700_E23_6,micro990
20120700_S1D_90,micro989
Bog.None.R2.T0.JGI.BFC.metaspades_bin.269_78.13_8.62,micro988
20110800_S1S_13,micro987
Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.104_97.47_4.73,micro986
Bog.None.R1.T0.trimmomatic.megahit_bin.149_91.22_4.05,micro985
Bog.None.R2.T0.JGI.BFC.metaspades_bin.32_77.74_4.21,micro984
3300037349_11,micro983
3300037241_7,micro982
20120700_S1D_77,micro981
20160700_E23_11,micro980
20170700_S24_16,micro979
20120700_P3D_3,micro978
20140700_S22_7,micro977
20170700_S24_9,micro976
20150700_E14_4,micro975
20110700_P1D_2,micro974
Bog.None.R2.T0.JGI.BFC.metaspades_bin.94_71.04_6.96,micro973
20170700_E14_6,micro972
20110800_P1D_29,micro971
20110800_P1D_18,micro970
20120700_S1D_113,micro969
20140700_E15_18,micro968
20100900_E1D_9,micro967
20110800_E2D_18,micro966
20130700_P1Y_10,micro965
20120700_P3D_140,micro964
20110800_S3D_10,micro963
20110700_S2D_6,micro962
Bog.None.R3.T0.trimmomatic.megahit_bin.67_73.32_6.98,micro961
Bog.None.R1.T0.trimmomatic.megahit_bin.358_74.42_8.60,micro960
Bog.None.R2.T0.JGI.BFC.metaspades_bin.260_94.67_5.63,micro959
20150700_P15_16,micro958
Palsa.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.38_96.40_3.38,micro957
Bog.None.R1.T0.trimmomatic.megahit_bin.233_80.97_3.18,micro956
Bog.None.R2.T0.JGI.BFC.metaspades_bin.347_81.27_8.23,micro955
3300037342_8,micro954
Bog.None.R2.T0.JGI.BFC.metaspades_bin.328_92.09_2.03,micro953
Bog.None.R2.T0.trimmomatic.megahit_bin.356_99.38_2.70,micro952
20130700_E2D_3,micro951
Bog.None.R2.T0.trimmomatic.megahit_bin.344_99.28_6.76,micro950
20120500_P36_3,micro949
PLCN01,micro948
20110800_P1D_36,micro947
20120500_P37_6,micro946
20120500_P35_2,micro945
20110700_P2D_2,micro944
20110800_S3S_9,micro943
Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.88_97.22_2.03,micro942
Bog.None.R3.T0.trimmomatic.megahit_bin.32_99.32_2.03,micro941
20160700_E21_11,micro940
Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.54_94.58_0.00,micro939
PMSV01,micro938
Bog.None.R3.T0.JGI.BFC.metaspades_bin.6_96.55_2.67,micro937
3300037233_9,micro936
20111000_P1M_10,micro935
