,June_E_1_S_12_so_R1,June_E_1_D_12_so_R1,June_E_2_S_12_so_R2,June_E_2_S_12_so_R1,June_E_2_M_12_so_R2,June_E_2_M_12_so_R1,June_E_2_D_12_so_R1,June_E_3_S_12_so_R1,June_E_3_M_12_so_R1,June_E_3_D_12_so_R2,June_E_3_D_12_so_R1,July_E_1_S_12_so_R1,July_E_1_M_12_so_R2,July_E_1_D_12_so_R2,July_E_1_D_12_so_R1,July_E_2_S_12_so_R1,July_E_2_D_12_so_R1,July_E_3_S_12_so_R1,July_E_3_M_12_so_R1,July_E_3_D_12_so_R1,Aug_E_1_S_12_so_R1,Aug_E_1_M_12_so_R1,Aug_E_1_D_12_so_R1,Aug_E_2_S_12_so_R1,Aug_E_2_M_12_so_R1,Aug_E_2_D_12_so_R1,Aug_E_3_S_12_so_R1,Aug_E_3_M_12_so_R2,Aug_E_3_M_12_so_R1
456.3561717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7351988566538,15.7351988566538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595.310199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0966862545404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
599.341489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9266458699055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
700.3124748,10.4093449831323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4093449831323,NA,NA,NA,10.4093449831323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4093449831323,NA,NA
712.349242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.56613697169681,NA,NA
749.2369849,-0.206517363601185,-0.206517363601185,-0.206517363601185,-0.206517363601185,-0.206517363601185,NA,-0.206517363601185,NA,NA,-0.206517363601185,-0.206517363601185,NA,NA,NA,-0.206517363601185,NA,NA,NA,NA,NA,-0.206517363601185,NA,NA,NA,NA,NA,-0.206517363601185,NA,-0.206517363601185
779.247554,-0.294233264298748,NA,-0.294233264298748,NA,NA,NA,NA,NA,-0.294233264298748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.294233264298748,NA,NA,NA,NA,NA,NA,NA,NA,NA
765.2319801,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,NA,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437
783.2425561,-0.242659321522695,-0.242659321522695,-0.242659321522695,NA,-0.242659321522695,-0.242659321522695,NA,NA,NA,-0.242659321522695,-0.242659321522695,-0.242659321522695,NA,-0.242659321522695,-0.242659321522695,-0.242659321522695,NA,NA,NA,NA,NA,-0.242659321522695,-0.242659321522695,NA,-0.242659321522695,-0.242659321522695,NA,NA,-0.242659321522695
767.2476586,0.441920891410529,0.441920891410529,0.441920891410529,0.441920891410529,0.441920891410529,0.441920891410529,NA,NA,0.441920891410529,0.441920891410529,0.441920891410529,0.441920891410529,NA,0.441920891410529,0.441920891410529,0.441920891410529,NA,0.441920891410529,0.441920891410529,0.441920891410529,NA,NA,0.441920891410529,0.441920891410529,NA,0.441920891410529,0.441920891410529,0.441920891410529,0.441920891410529
733.205157,0.465817832340431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
751.2162037,0.59393706433861,NA,0.59393706433861,0.59393706433861,NA,0.59393706433861,NA,NA,NA,NA,NA,NA,NA,NA,0.59393706433861,0.59393706433861,NA,NA,0.59393706433861,NA,NA,0.59393706433861,0.59393706433861,NA,0.59393706433861,NA,NA,0.59393706433861,0.59393706433861
741.2319149,0.292601915824461,NA,NA,NA,NA,0.292601915824461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292601915824461,NA,NA
711.2212522,-13.7515760539364,-13.2836150609729,-13.2936554916663,-13.1174258535796,-13.3129979379151,-14.1789713389777,-13.1671308562531,-12.9839531156648,-13.2984411422041,-13.6823765788965,-12.9600067102749,-13.1658995378283,-13.3900348670468,-13.592002673531,-13.5249835401151,-13.6741880115213,-13.4860568358607,-13.158202317165,-13.6102739059996,-13.2649159992924,-13.1458188760285,-13.5760571905275,-13.3510815050713,-13.9857489487917,-13.0534300254086,-13.6107522171027,-13.1240982770911,-13.1061578604224,-13.0037391638831
753.2318114,-0.411896672057963,-0.411896672057963,-0.411896672057963,-0.411896672057963,-0.411896672057963,-0.411896672057963,-0.411896672057963,NA,NA,-0.411896672057963,-0.411896672057963,-0.411896672057963,NA,-0.411896672057963,-0.411896672057963,-0.411896672057963,NA,NA,NA,NA,-0.411896672057963,-0.411896672057963,-0.411896672057963,NA,-0.411896672057963,-0.411896672057963,NA,-0.411896672057963,-0.411896672057963
735.2212041,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,NA,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779,0.154604651470779
737.2368098,-0.0996168559384407,-0.0996168559384407,NA,NA,NA,-0.0996168559384407,NA,NA,NA,-0.0996168559384407,NA,NA,NA,NA,-0.0996168559384407,NA,NA,NA,-0.0996168559384407,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0996168559384407
