,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
20110800_S3S_35,NA,NA,NA,0.400113194438183,NA,NA,0.400113194438183,NA,NA,0.400113194438183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20110600_P3S_13,NA,NA,0.471257894816965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170700_S25_36,-0.542322628383477,-0.542322628383477,-0.542322628383477,NA,-0.542322628383477,-0.542322628383477,-0.542322628383477,-0.542322628383477,-0.542322628383477,NA,NA,-0.542322628383477,-0.542322628383477,-0.542322628383477,-0.542322628383477,NA,-0.542322628383477,-0.542322628383477,-0.542322628383477,-0.542322628383477,NA,NA
20111000_S1D_14,-0.599251497217056,-0.599251497217056,-0.599251497217056,-0.599251497217056,-0.599251497217056,-0.599251497217057,-0.599251497217056,-0.599251497217056,-0.599251497217057,NA,NA,-0.599251497217057,NA,-0.599251497217056,-0.599251497217056,NA,NA,-0.599251497217056,-0.599251497217056,-0.599251497217056,NA,-0.599251497217056
20110800_S1S_3,-0.697939712933311,NA,NA,-0.69793971293331,-0.69793971293331,NA,-0.69793971293331,NA,NA,-0.697939712933311,-0.69793971293331,-0.697939712933311,-0.697939712933311,NA,NA,-0.697939712933311,-0.697939712933311,NA,NA,NA,NA,NA
20120700_S1D_43,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,NA,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443,-0.730604649656443
20160700_S34_5,NA,NA,0.137996087516273,0.137996087516273,0.137996087516273,0.137996087516273,NA,0.137996087516273,NA,NA,NA,0.137996087516273,NA,0.137996087516273,0.137996087516273,NA,NA,NA,NA,NA,NA,NA
20130700_C2M_2,0.209462765792358,0.209462765792358,0.209462765792358,0.209462765792358,0.209462765792358,0.209462765792358,0.209462765792358,0.209462765792358,0.209462765792358,NA,NA,0.209462765792358,0.209462765792358,0.209462765792358,0.209462765792358,0.209462765792358,NA,0.209462765792358,NA,NA,NA,0.209462765792358
20110700_S3M_18,-0.169834524638245,-0.169834524638245,-0.169834524638245,NA,-0.169834524638245,-0.169834524638245,NA,NA,-0.169834524638245,-0.169834524638245,NA,-0.169834524638245,NA,-0.169834524638245,-0.169834524638245,NA,-0.169834524638245,-0.169834524638245,-0.169834524638245,NA,NA,NA
20110800_P3S_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.199880803568384
