Member,Value,Direction,Domain,Phylum,Class,Order,Family,Genus,Species
20111000_P3M_9,0.968147309,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__Methyloceanibacter,s__Methyloceanibacter sp003135455
20111000_S1D_14,2.340322791,Sig. High,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__
20120500_P17_6,1.032399182,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SG8-39,g__2-12-FULL-64-23,s__
20120500_P19_1,-0.748531457,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Fen-549,s__Fen-549 sp003132665
20120500_P19_10,3.251129879,Sig. High,d__Bacteria,p__Caldisericota,c__Caldisericia,o__Cryosericales,f__Cryosericaceae,g__Cryosericum,s__Cryosericum septentrionale
20120500_P19_12,-0.350737511,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__UBA2241,f__UBA2241,g__PALSA-647,s__PALSA-647 sp003132585
20120500_P19_4,-0.653520745,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Fen-549,s__
20120500_P19_7,-0.880794702,Insignificant,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__,s__
20120500_P19_8,-0.631637921,Insignificant,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__RBG-13-68-16,s__RBG-13-68-16 sp003133645
20120500_P26_1,-0.871905188,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__Bog-209 sp003132325
20120500_P26_12,-0.956420619,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__UBA11358 sp003161635
20120500_P26_5,-0.672571713,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003133425
20120500_P26_8,0.398216659,Insignificant,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__UBA8260,g__UBA8260,s__UBA8260 sp003153215
20120500_P28_11,-0.14589141,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003132145
20120500_P32_6,0.150866685,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-343,s__Palsa-343 sp003131625
20120500_P38_1,1.358335997,High,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__PALSA-610,g__,s__
