Name,Phylum,Class,Order,Family,Genus,Species
micro1021,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__UBA11358 sp003161635
micro1020,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
micro1019,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
micro974,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
micro915,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__VadinHA17,g__LD21,s__LD21 sp003157075
micro868,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__FEN-979,g__QYOJ01,s__
micro867,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__FEN-979,g__QYOJ01,s__
micro839,p__Bacteroidota,c__UBA10030,o__UBA10030,f__UBA6906,g__Fen-1260,s__Fen-1260 sp003162635
micro835,p__Bacteroidota,c__UBA10030,o__UBA10030,f__UBA6906,g__Fen-1273,s__Fen-1273 sp003158475
micro832,p__Bacteroidota,c__UBA10030,o__UBA10030,f__UBA6906,g__Fen-1255,s__Fen-1255 sp003154155
micro818,p__Bacteroidota,c__Ignavibacteria,o__SJA-28,f__B-1AR,g__FEN-1257,s__FEN-1257 sp003135995
micro817,p__Bacteroidota,c__Ignavibacteria,o__SJA-28,f__B-1AR,g__FEN-1279,s__FEN-1279 sp003158365
micro796,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__Fen-1245,s__Fen-1245 sp003157095
micro775,p__WOR-3,c__WOR-3,o__UBA2258,f__UBA2258,g__UBA2258,s__
micro774,p__WOR-3,c__WOR-3,o__UBA2258,f__UBA2258,g__UBA2258,s__
micro768,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales,f__Fen-1364,g__Fen-1364,s__
micro766,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales,f__Fen-1364,g__Fen-1364,s__Fen-1364 sp003154555
micro760,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Solibacter,s__
micro759,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Solibacter,s__
micro742,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Fen-178,s__
micro741,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Fen-178,s__
micro740,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Fen-178,s__Fen-178 sp003142355
micro739,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Fen-178,s__
micro738,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Fen-178,s__Fen-178 sp003170915
micro688,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__,s__
