cluster,env_variable,rho,pvalue,pval_adj
Cluster1,CO2.mM__,-0.49298925034522834,0.037637666522373436,0.11291299956712031
Cluster2,CO2.mM__,-0.5125287103715235,0.024848886930835645,0.09939554772334258
Cluster3,CO2.mM__,-0.44249358581787823,0.05781077503138543,0.11562155006277086
Cluster4,CO2.mM__,0.07894736842105263,0.7480109342989423,0.7480109342989423
Cluster1,CH4.mM__,-0.5419754972082849,0.020157252869752007,0.08062901147900803
Cluster2,CH4.mM__,-0.30505568181632703,0.20409589562589958,0.6122876868776987
Cluster3,CH4.mM__,-0.09482005410383104,0.6994050767069266,1
Cluster4,CH4.mM__,0.12982456140350876,0.5963025541504443,1
