Microbe,cluster,rho,pvalue,p_adj,Domain,Phylum,Class,Order,Family,Genus,Species
20120700_S1D_57,Cluster1,-0.7031283999368942,3.7745223742069456e-4,0.0018628226748293323,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20170700_S25_9,Cluster2,-0.5176297494985799,0.013610595751266441,0.03290294399293257,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003161045
20120600_S1D_7,Cluster1,-0.6221058541412994,0.002602026294102888,0.008610901722341734,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003159355
Bog.None.R3.T0.JGI.BFC.metaspades_bin.37_91.86_1.77,Cluster1,-0.5317948339005079,0.013093820147588753,0.03191030270326395,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20170700_S34_24,Cluster1,-0.4972370666307789,0.021826708700551478,0.048598364263939285,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003156235
20170700_S34_24,Cluster2,-0.5494086859758724,0.008085561101423444,0.02159868376608078,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003156235
20170700_S34_24,Cluster3,-0.5067977669975865,0.01607984044112465,0.03778845523935046,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003156235
Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.55_93.55_2.59,Cluster3,-0.5541311009847687,0.007451383960253244,0.02023661743450297,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20120800_E1D_14,Cluster1,-0.499525727661008,0.021133025614426426,0.04732502545170472,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003142015
20120800_E1D_14,Cluster3,-0.5395481087088883,0.00955383377592911,0.02462385402898674,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003142015
20150700_E14_2,Cluster3,-0.5238704858255999,0.012334364021276745,0.03040834930717422,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
Bog.Unlabelled.R2.T1.F3.JGI.BFC.metaspades_bin.31_72.82_1.94,Cluster1,0.5978964321843353,0.004201253706634933,0.012659385814337265,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Granulicella_A,s__
Bog.Unlabelled.R2.T1.F3.JGI.BFC.metaspades_bin.31_72.82_1.94,Cluster2,0.5497979872398842,0.008031652727422678,0.02150819626837631,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Granulicella_A,s__
Bog.Unlabelled.R2.T1.F3.JGI.BFC.metaspades_bin.31_72.82_1.94,Cluster3,0.5201927653383943,0.013074042762318161,0.03188161262000469,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Granulicella_A,s__
20110600_S1D_17,Cluster1,-0.5951624163454737,0.00442452705457419,0.013175166449798397,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003162875
20110600_S1D_17,Cluster2,-0.6049909127319797,0.0028544590331947006,0.009276700705390611,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003162875
20110600_S1D_17,Cluster3,-0.597141276666197,0.00334415093386653,0.010516318303874395,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003162875
20120500_P28_11,Cluster1,-0.5120198203484343,0.01765037587894902,0.04082392662618793,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003132145
20120500_P28_11,Cluster2,-0.581813461261894,0.004504832540796144,0.013377715127822912,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003132145
20120500_P28_11,Cluster3,-0.6030741259127563,0.00296808355880529,0.00957519568832756,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003132145
20170700_S24_5,Cluster1,-0.6325717320238547,0.00208963800656492,0.007233816402126411,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003142215
Bog.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.2_98.85_1.71,Cluster1,0.6288685446623526,0.0022602427824931492,0.007717086962687175,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__
Bog.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.2_98.85_1.71,Cluster2,0.6089979837337309,0.0026287015063215513,0.008673952712760695,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__
Bog.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.2_98.85_1.71,Cluster3,0.5517905261126049,0.007760357675517415,0.020925204299129547,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__
20120700_S1D_63,Cluster1,-0.5335956334527993,0.012731532524112854,0.031223546199816144,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__TOLSYN,s__
