featureid,cluster,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R2,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R2,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,July_S_3_M_12_so_R1,Aug_S_1_S_12_so_R2,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R2,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
501.2129285,2,0.382036079302757,NA,0.382036079302757,0.382036079302757,0.382036079302757,0.382036079302757,0.382036079302757,NA,0.382036079302757,NA,0.382036079302757,NA,0.382036079302757,0.382036079302757,NA,0.382036079302757,0.382036079302757,NA,NA,NA,NA,0.382036079302757,NA,0.382036079302757,0.382036079302757,0.382036079302757,NA
485.1663176,3,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,NA,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,-0.5133044960495,NA
483.1870563,4,-12.8275683508385,-12.6517497959051,-12.6392059912542,-12.4151802799892,-13.0568844499473,-13.1499468387718,-13.1263487103714,-13.2874075656767,-12.8909086075436,-12.5579117298809,-13.1861636622248,-13.0101105028201,-12.7231517627098,-12.5227713413268,-12.9417356127868,-12.8522482415566,-13.2967321567378,-12.6826644642695,-12.9952923002789,-12.600656432286,-13.2047127145039,-12.7130285942072,-12.9423736335122,-13.0530897705846,-12.868592525282,-12.7476116368222,-13.6687896216884
495.1870498,3,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,-0.635165956824578,NA,-0.635165956824578,-0.635165956824578,-0.635165956824578,NA
471.1506401,3,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,-0.60749452386442,NA,-0.60749452386442,-0.60749452386442,NA
469.1713834,3,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,-0.635227302805863,NA,-0.635227302805863,-0.635227302805863,-0.635227302805863,NA
481.171375,3,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,-0.565782474334739,NA
469.2441497,3,-0.547069137799274,NA,-0.547069137799274,-0.547069137799274,-0.547069137799274,-0.547069137799274,-0.547069137799274,-0.547069137799274,-0.547069137799274,NA,-0.547069137799274,-0.547069137799274,-0.547069137799274,-0.547069137799274,-0.547069137799274,NA,NA,-0.547069137799274,-0.547069137799274,-0.547069137799274,-0.547069137799274,-0.547069137799274,NA,NA,NA,NA,NA
487.2183281,4,-12.8226844956167,-13.0375745867603,-12.7474977389838,-12.9766310617872,-12.9614704401312,-13.0807017098886,-13.3803947353773,-12.7049750044909,-12.8977476311471,-13.0930540536072,-12.7063915757213,-13.2854895702831,-13.3678760495074,-12.6884635407825,-12.5987279776708,-12.6853314156471,-13.1949529006277,-13.6401434924063,-13.0478867939581,-12.5992280894356,-12.9408925391577,-12.720270182531,-12.9140654638933,-12.904246143466,-13.0675240093813,-12.9426276830123,-13.348179898883
469.2077565,3,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,-0.591144726620354,NA
471.1870271,3,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,NA,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,-0.65141205552185,NA,-0.65141205552185,NA,NA
485.2390943,3,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,-0.549122764651921,NA,-0.549122764651921,NA,-0.549122764651921
485.2027215,3,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,-0.588992906076643,NA
483.2234506,3,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,-0.579719671305042,NA
499.2183572,3,-0.600878065611511,-0.600878065611511,-0.600878065611511,-0.600878065611511,-0.600878065611511,-0.600878065611511,NA,-0.600878065611511,-0.600878065611511,NA,-0.600878065611511,-0.600878065611511,NA,-0.600878065611511,-0.600878065611511,-0.600878065611511,NA,-0.600878065611511,-0.600878065611511,-0.600878065611511,-0.600878065611511,-0.600878065611511,-0.600878065611511,NA,-0.600878065611511,NA,NA
481.244169,3,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,NA,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,-0.455322676745759,NA
501.2339973,3,-0.398189549165183,-0.398189549165183,NA,-0.398189549165183,-0.398189549165183,-0.398189549165183,-0.398189549165183,-0.398189549165183,NA,NA,-0.398189549165183,-0.398189549165183,-0.398189549165183,-0.398189549165183,-0.398189549165183,NA,-0.398189549165183,-0.398189549165183,-0.398189549165183,-0.398189549165183,-0.398189549165183,-0.398189549165183,NA,NA,-0.398189549165183,NA,-0.398189549165183
445.1138272,3,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,-0.642982989399041,NA
447.1294831,3,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,NA,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277,-0.44942583619277
449.1451345,4,-13.1470047997753,-12.642976363968,-12.8649395190651,-12.8482010613281,-12.7610121798194,-12.510461354685,-12.5190765075478,-12.9983879294675,-12.9811850538544,-12.8184006311562,-12.861386888934,-13.056639426097,-13.0338249589156,-12.8996515501924,-13.0590553427946,-12.9209366330394,-13.353510953806,-12.7790862961099,-12.8353191689337,-12.8911475155383,-12.8856287363065,-13.5322130777046,-12.943375309159,-13.0540481870541,-13.0634810873267,-13.0622822765473,-13.082052618441
459.1295115,3,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,NA,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724,-0.39786241978724
475.1244089,3,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,NA,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757,-0.474025334910757
457.1138517,3,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,-0.57380903513201,NA
471.1294966,3,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,NA,-0.574651917135456,-0.574651917135456,-0.574651917135456,-0.574651917135456,NA,NA
443.1345768,3,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,NA,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,-0.546442091121202,NA,-0.546442091121202,-0.546442091121202,-0.546442091121202,NA
441.1189209,3,-0.600943340373282,-0.600943340373282,-0.600943340373282,-0.600943340373282,-0.600943340373282,-0.600943340373282,-0.600943340373282,-0.600943340373282,-0.600943340373282,NA,-0.600943340373282,-0.600943340373282,-0.600943340373282,-0.600943340373282,-0.600943340373282,-0.600943340373282,-0.600943340373282,NA,-0.600943340373282,-0.600943340373282,NA,-0.600943340373282,NA,NA,-0.600943340373282,NA,NA
455.1345795,3,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,NA,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,NA,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,-0.542492127535638,NA
473.1815225,3,-0.381343882226027,-0.381343882226027,-0.381343882226027,-0.381343882226027,-0.381343882226027,-0.381343882226027,-0.381343882226027,NA,-0.381343882226027,-0.381343882226027,-0.381343882226027,-0.381343882226027,-0.381343882226027,-0.381343882226027,-0.381343882226027,NA,-0.381343882226027,-0.381343882226027,-0.381343882226027,NA,NA,-0.381343882226027,-0.381343882226027,-0.381343882226027,-0.381343882226027,-0.381343882226027,NA
463.1971801,4,-12.8227725681136,-13.0241612146528,-12.5403960666976,-12.735739406133,-12.9868502396595,-12.702229404751,-12.3302268716346,-12.7927933394928,-13.4941148722552,-13.1611258648551,-12.6969150663113,-12.8333392826125,-12.764899930411,-13.3919297343365,-12.8464698561626,-12.8352712285992,-12.9589663692364,-12.6499519793022,-12.9710185144556,-12.8400947696725,-13.2682047639734,-12.9566077288294,-12.9378688584099,-12.9081500436487,-13.1270944012173,-12.9694751687334,-12.2450062233356
443.1709648,3,-0.444403130301181,NA,-0.444403130301181,-0.444403130301181,-0.444403130301181,-0.444403130301181,-0.444403130301181,NA,-0.444403130301181,NA,-0.444403130301181,NA,-0.444403130301181,-0.444403130301181,-0.444403130301181,NA,-0.444403130301181,NA,NA,-0.444403130301181,NA,-0.444403130301181,-0.444403130301181,-0.444403130301181,-0.444403130301181,-0.444403130301181,-0.444403130301181
473.2179306,3,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,NA,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,-0.512291534321315,NA
489.2128585,4,-12.8360948588816,-13.2053189786191,-12.91012359193,-12.7853941241942,-13.0967085495167,-12.967195970562,-12.7312496309193,-13.0596574211945,-12.9150516827308,-12.5259313477393,-12.9892207467722,-13.0729167747041,-12.9961484673433,-13.3602654285562,-12.9481361189441,-13.0684053455731,-13.1019373254524,-12.9925055037016,-12.6990199172336,-12.3279578123688,-12.5863383932087,-12.9925347057505,-12.602975242523,-12.8071542103729,-12.2390093206124,-12.7877485730297,-12.6750478991832
477.1400861,4,-13.11783788336,-12.0554970549804,-12.8454407405928,-13.1707898093762,-12.9668951113658,-12.8810751030687,-13.2092842025601,-12.6038453326025,-13.6216219659519,-12.936955226245,-13.1929434265439,-12.8202621704397,-12.7526380919188,-13.3588171194008,-13.0158865568923,-12.9602445174653,-12.4696235949576,-13.0914456723064,-13.1884508991436,-13.0002551344155,-12.6812939972503,-12.831061429083,-12.7227797787711,-12.9234895758681,-12.9323713800337,-12.8469618062757,-12.883948630072
473.1451957,3,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,-0.3292680220662,NA,-0.3292680220662,-0.3292680220662,NA,-0.3292680220662,NA,-0.3292680220662,-0.3292680220662,NA,NA
503.192135,3,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,-0.480375473369165,NA,NA,-0.480375473369165,NA,-0.480375473369165,NA,-0.480375473369165,-0.480375473369165,-0.480375473369165,NA
513.212869,3,-0.439611001539542,NA,-0.439611001539542,-0.439611001539542,NA,-0.439611001539542,-0.439611001539542,NA,-0.439611001539542,NA,-0.439611001539542,-0.439611001539542,-0.439611001539542,-0.439611001539542,-0.439611001539542,NA,-0.439611001539542,NA,NA,NA,NA,-0.439611001539542,NA,-0.439611001539542,-0.439611001539542,-0.439611001539542,NA
475.1608399,3,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,-0.589087875555848,NA
431.2072788,4,-13.0103655222595,-13.2562174075749,-12.8199322793911,-12.877015530154,-13.0037812761323,-13.4443956482313,-13.0468963608343,-12.8039073468041,-12.8463706653652,-12.7678450301925,-12.9585773688291,-12.6636033057915,-12.3872571358527,-12.8528297095922,-12.8887697180807,-13.0580321455796,-12.5269788384327,-12.9802778203352,-13.4510995034135,-12.7580671419302,-12.7254838984607,-12.9301085319609,-12.9525596347393,-13.0199929065414,-12.9383511365389,-12.8592739137576,-12.218809013299
