featureid,cluster,June_E_1_S_12_so_R1,June_E_1_D_12_so_R1,June_E_2_S_12_so_R2,June_E_2_S_12_so_R1,June_E_2_M_12_so_R2,June_E_2_M_12_so_R1,June_E_2_D_12_so_R1,June_E_3_S_12_so_R1,June_E_3_M_12_so_R1,June_E_3_D_12_so_R2,June_E_3_D_12_so_R1,July_E_1_S_12_so_R1,July_E_1_M_12_so_R2,July_E_1_D_12_so_R2,July_E_1_D_12_so_R1,July_E_2_S_12_so_R1,July_E_2_D_12_so_R1,July_E_3_S_12_so_R1,July_E_3_M_12_so_R1,July_E_3_D_12_so_R1,Aug_E_1_S_12_so_R1,Aug_E_1_M_12_so_R1,Aug_E_1_D_12_so_R1,Aug_E_2_S_12_so_R1,Aug_E_2_M_12_so_R1,Aug_E_2_D_12_so_R1,Aug_E_3_S_12_so_R1,Aug_E_3_M_12_so_R2,Aug_E_3_M_12_so_R1
765.2319801,1,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,NA,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437,0.746576540610437
783.2425561,2,-0.242659321522695,-0.242659321522695,-0.242659321522695,NA,-0.242659321522695,-0.242659321522695,NA,NA,NA,-0.242659321522695,-0.242659321522695,-0.242659321522695,NA,-0.242659321522695,-0.242659321522695,-0.242659321522695,NA,NA,NA,NA,NA,-0.242659321522695,-0.242659321522695,NA,-0.242659321522695,-0.242659321522695,NA,NA,-0.242659321522695
753.2318114,2,-0.411896672057963,-0.411896672057963,-0.411896672057963,-0.411896672057963,-0.411896672057963,-0.411896672057963,-0.411896672057963,NA,NA,-0.411896672057963,-0.411896672057963,-0.411896672057963,NA,-0.411896672057963,-0.411896672057963,-0.411896672057963,NA,NA,NA,NA,-0.411896672057963,-0.411896672057963,-0.411896672057963,NA,-0.411896672057963,-0.411896672057963,NA,-0.411896672057963,-0.411896672057963
795.2428323,1,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,NA,0.750793935926427,0.750793935926427,0.750793935926427,NA,0.750793935926427,0.750793935926427,NA,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,NA,0.750793935926427,0.750793935926427,0.750793935926427
703.1949281,1,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,NA,NA,NA,NA,1.51340439213517,NA,1.51340439213517,1.51340439213517,NA,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,NA,NA,1.51340439213517,NA,1.51340439213517
675.1998749,2,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,NA,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,NA,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255
689.2155115,2,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,NA,NA,-0.552412116578748,-0.552412116578748,NA,NA,-0.552412116578748,NA,-0.552412116578748,-0.552412116578748,NA,NA,NA,NA,-0.552412116578748,-0.552412116578748,-0.552412116578748
691.1947105,2,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,NA,-0.450139917450475,-0.450139917450475,-0.450139917450475,NA,-0.450139917450475,-0.450139917450475,-0.450139917450475,NA,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475,-0.450139917450475
677.2154775,3,-13.5528667179826,-13.628404749407,-13.4102488415675,-13.4340082914005,-13.4788668764298,-13.4259957135027,-13.3229592404869,-13.8407953241192,-13.4008046715147,-13.3722108299095,-13.7800908262434,-13.4281890356254,-13.1465599771423,-13.6440183223348,-13.8195313692468,-13.2648044674958,-13.3010745462956,-13.3503017147193,-14.0334545143572,-13.5014166421175,-13.0090918910362,-13.3442211399857,-13.3490100054067,-13.5269599412526,-13.1510226061671,-13.3778778480898,-13.1191125109121,-13.1188080635427,-13.2753339970576
659.2048427,1,1.09075391546954,1.09075391546954,1.09075391546954,1.09075391546954,1.09075391546954,1.09075391546954,1.09075391546954,NA,1.09075391546954,1.09075391546954,1.09075391546954,NA,NA,1.09075391546954,1.09075391546954,1.09075391546954,NA,1.09075391546954,1.09075391546954,NA,NA,NA,1.09075391546954,1.09075391546954,NA,1.09075391546954,1.09075391546954,1.09075391546954,1.09075391546954
