featureid,cluster,sil_width,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
487.1609065,1,0.9080737259118983,-0.405093232,Insignificant,487.1609065,25,28,10,0,0,0,0,0,CHO,NA,488.1682365,-0.131523002,NA,C25H28O10,0.133333333,0.35,12,2,2,69.42,486.6169383,0.38306172,-0.32,0.4,1.12,0,0,NA,Lignin,Lignin,Other
299.1436824,1,0.9080731206743574,-0.41330162,Insignificant,299.1436824,14,24,3,2,0,1,0,0,CHNOS,NA,300.1510124,0.653531573,NA,C14H24O3N2S,0,0,4,1,-2,80.65714286,298.8096559,0.190344108,-0.714285714,0.214285714,1.714285714,0.142857143,0,NA,Lipid,Lipid,Protein
355.206315,1,0.9080711356500407,-0.413473503,Insignificant,355.206315,18,32,3,2,0,1,0,0,CHNOS,NA,356.213645,0.641615458,NA,C18H32O3N2S,0,0,4,1,-2,88.8,354.8096885,0.190311545,-1,0.166666667,1.777777778,0.111111111,0,NA,Lipid,Lipid,Other
361.0537043,1,0.9080664901745765,-0.413840093,Insignificant,361.0537043,21,14,4,0,0,1,0,0,CHOS,NA,362.0610343,-0.84012666,NA,C21H14O4S,0.625,0.666666667,15,11,10,65.72857143,360.6505485,0.349451492,-0.19047619,0.19047619,0.666666667,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
523.1303771,1,0.9080655759546898,-0.41390636,Insignificant,523.1303771,20,28,16,0,0,0,0,0,CHO,NA,524.13770709999994,-0.155088799,NA,C20H28O16,0,0,7,-9,-9,54.6,522.546245,0.453754952,0.2,0.8,1.4,0,0,NA,Other,Tannin,Other
427.1759709,1,0.9080640260270681,-0.414010231,Insignificant,427.1759709,24,28,7,0,0,0,0,0,CHO,NA,428.1833009,-0.597624209,NA,C24H28O7,0.235294118,0.365853659,11,4,4,76.925,426.6989824,0.301017605,-0.583333333,0.291666667,1.166666667,0,0,NA,Lignin,Lignin,Other
513.1460979,1,0.9080585188381362,-0.40384617,Insignificant,513.1460979,19,30,16,0,0,0,0,0,CHO,NA,514.1534279,-0.050225549,NA,C19H30O16,0,0,5,-11,-11,57.3,512.5731144,0.426885617,0.105263158,0.842105263,1.578947368,0,0,NA,Carbohydrate,Carbohydrate,Other
487.1456579,1,0.9080530019912847,-0.403432622,Insignificant,487.1456579,21,28,13,0,0,0,0,0,CHO,NA,488.1529879,-0.115970406,NA,C21H28O13,0,0.103448276,8,-5,-5,63.01428571,486.6017067,0.398293294,-0.095238095,0.619047619,1.333333333,0,0,NA,Lignin,Lignin,Other
507.1565946,1,0.9080526418048253,-0.414719922,Insignificant,507.1565946,17,32,17,0,0,0,0,0,CHO,NA,508.1639246,-0.154645747,NA,C17H32O17,0,0,2,-15,-15,56.94705882,506.590299,0.409700984,0.117647059,1,1.882352941,0,0,NA,Carbohydrate,Carbohydrate,Carbohydrate
753.2318114,1,0.9080489312988194,-0.414936167,Insignificant,753.2318114,49,38,6,0,0,1,0,0,CHOS,NA,754.2391414,0.237149839,NA,C49H38O6S,0.571428571,0.6,31,25,24,74.25918367,752.390746,0.60925397,-0.489795918,0.12244898,0.775510204,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Cond Hydrocarbon,Other
288.1276796,1,0.9080480997038611,-0.403094076,Insignificant,288.1276796,13,23,4,1,0,1,0,0,CHNOS,NA,289.1350096,0.614850712,NA,C13H23O4NS,0,0,3,-1,-3,82.22307692,287.8059537,0.194046341,-0.769230769,0.307692308,1.769230769,0.076923077,0,NA,Protein,Protein,Other
559.2760488,1,0.9080443034640022,-0.402851037,Insignificant,559.2760488,27,44,12,0,0,0,0,0,CHO,NA,560.2833788,0.086335707,NA,C27H44O12,0,0,6,-6,-6,81.41111111,558.6515562,0.348443832,-0.740740741,0.444444444,1.62962963,0,0,NA,Protein,Protein,Other
497.0935472,1,0.9080395717614781,-0.40256870300000003,Insignificant,497.0935472,21,22,14,0,0,0,0,0,CHO,NA,498.1008772,-0.264499059,NA,C21H22O14,0,0.285714286,11,-3,-3,52.15714286,496.5384881,0.461511896,0.285714286,0.666666667,1.047619048,0,0,NA,Tannin,Tannin,Other
409.1136818,1,0.9080358505688422,-0.415651925,Insignificant,409.1136818,19,22,10,0,0,0,0,0,CHO,NA,410.1210118,-0.825893332,NA,C19H22O10,0,0.285714286,9,-1,-1,63.3,408.6568618,0.343138192,-0.105263158,0.526315789,1.157894737,0,0,NA,Lignin,Lignin,Other
469.04111,1,0.9080329334846446,-0.415802352,Insignificant,469.04111,22,14,12,0,0,0,0,0,CHO,NA,470.04844,-0.296759254,NA,C22H14O12,0.4,0.625,16,4,4,47.34545455,468.5173745,0.482625494,0.454545455,0.545454545,0.636363636,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
354.127098,1,0.9080310332443696,-0.41589498,Insignificant,354.127098,14,28,6,0,0,1,1,0,CHOSP,NA,355.134428,-0.130046532,NA,C14H28O6SP,0,0,1.5,-4.5,-6.5,98.97857143,353.7316765,0.268323481,-1.357142857,0.428571429,2,0,0.071428571,0,Protein,Protein,Lipid
419.0828305,1,0.9080305382737834,-0.402064095,Insignificant,419.0828305,16,20,13,0,0,0,0,0,CHO,NA,420.0901605,-0.675530805,NA,C16H20O13,0,0.052631579,7,-6,-6,49.6125,418.6148789,0.385121132,0.375,0.8125,1.25,0,0,NA,Tannin,Tannin,Other
377.1296243,1,0.9080238982167017,-0.416224764,Insignificant,377.1296243,25,18,2,2,0,0,0,0,CHNO,NA,378.1369543,0.192853552,NA,C25H18O2N2,0.666666667,0.681818182,18,16,14,69.42,376.708518,0.291482008,-0.32,0.08,0.72,0.08,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
331.1335699,1,0.9080219332487066,-0.416311115,Insignificant,331.1335699,14,24,5,2,0,1,0,0,CHNOS,NA,332.1408999,0.766041766,NA,C14H24O5N2S,0,0,4,-1,-4,72.51428571,330.7638232,0.236176802,-0.428571429,0.357142857,1.714285714,0.142857143,0,NA,Protein,Protein,Protein
487.2699936,1,0.908020961953131,-0.41635179,Insignificant,487.2699936,28,40,7,0,0,0,0,0,CHO,NA,488.2773236,-0.273571837,NA,C28H40O7,0.095238095,0.224489796,9,2,2,86.76428571,486.7259036,0.274096428,-0.928571429,0.25,1.428571429,0,0,NA,Other,Lignin,Other
557.1724683,1,0.9080084530728458,-0.416852205,Insignificant,557.1724683,21,34,17,0,0,0,0,0,CHO,NA,558.1797983,0.259871662,NA,C21H34O17,0,0,5,-12,-12,60.3,556.5503245,0.449675456,0,0.80952381,1.619047619,0,0,NA,Carbohydrate,Carbohydrate,Other
337.0407546,1,0.9080069448371025,-0.400825997,Insignificant,337.0407546,24,6,1,2,0,0,0,0,CHNO,NA,338.0480846,0.054065245,NA,C24H6ON2,0.952380952,0.953488372,23,22,20,57.925,336.6644119,0.335588118,0.083333333,0.041666667,0.25,0.083333333,0,NA,Other,Cond Hydrocarbon,Other
357.0920108,1,0.9080041228264724,-0.400686345,Insignificant,357.0920108,26,14,2,0,0,0,0,0,CHO,NA,358.0993408,-0.258018458,NA,C26H14O2,0.75,0.76,20,18,18,71.26153846,356.6932787,0.306721329,-0.384615385,0.076923077,0.538461538,0,0,NA,Other,Cond Hydrocarbon,Other
407.1191936,1,0.9080038134950019,-0.417029884,Insignificant,407.1191936,29,16,1,2,0,0,0,0,CHNO,NA,408.1265236,0.506970559,NA,C29H16ON2,0.769230769,0.773584906,23,22,20,68.162068970000007,406.6646007,0.335399329,-0.275862069,0.034482759,0.551724138,0.068965517,0,NA,Other,Cond Hydrocarbon,Other
389.0874244,1,0.9080016073795231,-0.417110893,Insignificant,389.0874244,11,22,11,2,0,1,0,0,CHNOS,NA,390.0947544,0.695379443,NA,C11H22O11N2S,0,0,2,-9,-12,39.57272727,388.6529659,0.347034094,0.727272727,1,2,0.181818182,0,NA,Carbohydrate,Carbohydrate,Other
483.1717051,1,0.9079978557903773,-0.417243202,Insignificant,483.1717051,32,24,3,2,0,0,0,0,CHNO,NA,484.1790351,0.59674342,NA,C32H24O3N2,0.62962963,0.649122807,22,19,17,70.9875,482.6321913,0.367808742,-0.375,0.09375,0.75,0.0625,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
493.1772387,1,0.9079908291497861,-0.41748161,Insignificant,493.1772387,17,34,16,0,0,0,0,0,CHO,NA,494.1845687,-0.34378311,NA,C17H34O16,0,0,1,-15,-15,63.65294118,492.6265526,0.373447411,-0.117647059,0.941176471,2,0,0,NA,Carbohydrate,Carbohydrate,Carbohydrate
485.2543475,1,0.9079794899900359,-0.417852326,Insignificant,485.2543475,28,38,7,0,0,0,0,0,CHO,NA,486.2616775,-0.266494852,NA,C28H38O7,0.142857143,0.265306122,10,3,3,84.72857143,484.7125082,0.287491839,-0.857142857,0.25,1.357142857,0,0,NA,Other,Lignin,Other
519.114398,1,0.9079792185774787,-0.399520403,Insignificant,519.114398,24,24,13,0,0,0,0,0,CHO,NA,520.121728,-0.031505798,NA,C24H24O13,0,0.371428571,13,0,0,57.925,518.5347502,0.465249774,0.083333333,0.541666667,1,0,0,NA,Lignin,Lignin,Other
341.0298576,1,0.9079770538860303,-0.417929166,Insignificant,341.0298576,9,14,10,2,0,1,0,0,CHNOS,NA,342.0371876,0.641277761,NA,C9H14O10N2S,0,0,4,-6,-9,15.96666667,340.6490606,0.350939386,1.555555556,1.111111111,1.555555556,0.222222222,0,NA,Other,Carbohydrate,Other
443.1345768,1,0.9079696970099006,-0.418153308,Insignificant,443.1345768,23,24,9,0,0,0,0,0,CHO,NA,444.1419068,-0.403175589,NA,C23H24O9,0.214285714,0.405405405,12,3,3,67.73478261,442.6397688,0.360231227,-0.260869565,0.391304348,1.043478261,0,0,NA,Lignin,Lignin,Other
525.1765594,1,0.9079669518995449,-0.398975662,Insignificant,525.1765594,28,30,10,0,0,0,0,0,CHO,NA,526.1838894,-0.11656241,NA,C28H30O10,0.222222222,0.391304348,14,4,4,70.47857143,524.5901426,0.409857438,-0.357142857,0.357142857,1.071428571,0,0,NA,Lignin,Lignin,Other
381.2278858,1,0.9079516799503393,-0.398330505,Insignificant,381.2278858,21,34,6,0,0,0,0,0,CHO,NA,382.2352158,-0.985074812,NA,C21H34O6,0,0.111111111,5,-1,-1,90.15714286,380.8022033,0.197796663,-1.047619048,0.285714286,1.619047619,0,0,NA,Lipid,Lipid,Other
479.1404825,1,0.9079487040788541,-0.41877202,Insignificant,479.1404825,19,28,14,0,0,0,0,0,CHO,NA,480.1478125,-0.30551871,NA,C19H28O14,0,0,6,-8,-8,60.3,478.60547,0.394530043,0,0.736842105,1.473684211,0,0,NA,Other,Tannin,Other
284.0487513,1,0.9079408690737498,-0.397895013,Insignificant,284.0487513,9,18,6,0,0,1,1,0,CHOSP,NA,285.0560813,-0.50021157,NA,C9H18O6SP,0,0,1.5,-4.5,-6.5,88.8,283.7315799,0.268420073,-1,0.666666667,2,0,0.111111111,0,Other,Amino Sugar,Other
356.1427221,1,0.9079402851079168,-0.41901231,Insignificant,356.1427221,14,30,6,0,0,1,1,0,CHOSP,NA,357.1500521,-0.201930884,NA,C14H30O6SP,0,0,0.5,-5.5,-7.5,103.05,355.74505,0.254950045,-1.5,0.428571429,2.142857143,0,0.071428571,0,Other,Protein,Lipid
505.2806317,1,0.9079265866632839,-0.397345205,Insignificant,505.2806317,28,42,8,0,0,0,0,0,CHO,NA,506.2879617,-0.118789124,NA,C28H42O8,0,0.166666667,8,0,0,86.76428571,504.7164308,0.283569167,-0.928571429,0.285714286,1.5,0,0,NA,Other,Lipid,Other
393.0096038,1,0.9079187567205209,-0.419607955,Insignificant,393.0096038,16,10,12,0,0,0,0,0,CHO,NA,394.0169338,-0.876854898,NA,C16H10O12,0,0.6,12,0,0,35.3625,392.5707658,0.429234235,0.875,0.75,0.625,0,0,NA,Other,Cond Hydrocarbon,Other
341.1906933,1,0.9079125946247669,-0.396829501,Insignificant,341.1906933,17,30,3,2,0,1,0,0,CHNOS,NA,342.1980233,0.750879751,NA,C17H30O3N2S,0,0,4,1,-2,87.12352941,340.8097167,0.190283276,-0.941176471,0.176470588,1.764705882,0.117647059,0,NA,Lipid,Lipid,Other
