Microbe,cluster,rho,pvalue,p_adj
20140700_E22_12,Cluster1,-0.271992036240112,0.3924261053173086,0.9468599763649252
20140700_E22_12,Cluster2,-0.04957047765769514,0.8722375942486329,0.9736462288092923
20140700_E22_12,Cluster3,-0.10774038599641937,0.7260806747944857,0.9468599763649252
20140700_E22_12,Cluster4,-0.10774038599641937,0.7260806747944857,0.9468599763649252
20111000_S1D_14,Cluster1,0.33329489323249245,0.22476648236808083,0.9468599763649252
20111000_S1D_14,Cluster2,0.08703388301133765,0.7485861073533844,0.9468599763649252
20111000_S1D_14,Cluster3,0.10428673077591608,0.7007118456196872,0.9468599763649252
20111000_S1D_14,Cluster4,0.08684168428648435,0.7491246699816889,0.9468599763649252
PMWT01,Cluster1,0.018985905769553384,0.9348982005851108,0.989570609976053
PMWT01,Cluster2,-0.06960968599581954,0.7582242519384828,0.9468599763649252
PMWT01,Cluster3,-0.012429380514759728,0.9562198884845299,1
PMWT01,Cluster4,-0.2546583850931677,0.2527430513629403,0.9468599763649252
20140700_E14_11,Cluster1,-0.07332487745482687,0.7521035636755107,0.9468599763649252
20140700_E14_11,Cluster2,-0.08206019893816124,0.7165731493342522,0.9468599763649252
20140700_E14_11,Cluster3,-0.10395481885071772,0.6452431735212818,0.9468599763649252
20140700_E14_11,Cluster4,0.25917560700169395,0.2441331865660934,0.9468599763649252
20120600_S3D_1,Cluster1,-0.07725299588990688,0.7392565921135972,0.9468599763649252
20120600_S3D_1,Cluster2,-0.10639529241637458,0.6374623863416455,0.9468599763649252
20120600_S3D_1,Cluster3,-0.05762712784115874,0.7989325259353948,0.9505011755954059
20120600_S3D_1,Cluster4,-0.10559006211180125,0.6400256218947229,0.9468599763649252
20130700_S2S_8,Cluster1,0.18110438334496284,0.4720299730515123,0.9468599763649252
20130700_S2S_8,Cluster2,0.07031284332526849,0.7815967685963119,0.9468599763649252
20130700_S2S_8,Cluster3,0.14397283862949792,0.5687073740254018,0.9468599763649252
20130700_S2S_8,Cluster4,-0.11630547658903428,0.6458157954348711,0.9468599763649252
20110800_S1S_6,Cluster1,-0.01722432045654845,0.9459170822777991,0.997762774928907
20110800_S1S_6,Cluster2,0.44433085256603105,0.06469304973143575,0.9468599763649252
20110800_S1S_6,Cluster3,0.4093023802392227,0.0916646632414091,0.9468599763649252
20110800_S1S_6,Cluster4,0,1,1
20120700_S1D_96,Cluster1,-0.10679237875115032,0.6833122131389353,0.9468599763649252
20120700_S1D_96,Cluster2,-0.2879309048732509,0.24660595942783226,0.9468599763649252
20120700_S1D_96,Cluster3,-0.3229168161994062,0.19120826524854806,0.9468599763649252
20120700_S1D_96,Cluster4,0.6335465896502341,0.004759687837865734,0.4699109992656534
20120600_S3D_7,Cluster1,0.18724031207214717,0.4163741691374496,0.9468599763649252
20120600_S3D_7,Cluster2,-0.1290325886751777,0.5671255617811262,0.9468599763649252
20120600_S3D_7,Cluster3,-0.07683617045487832,0.7339622245112951,0.9468599763649252
20120600_S3D_7,Cluster4,0.32241671372106157,0.143355980602899,0.9468599763649252
20140700_S11_5,Cluster1,-0.2173558867410939,0.34392386482508375,0.9468599763649252
20140700_S11_5,Cluster2,-0.07187341562169985,0.7505992103399022,0.9468599763649252
20140700_S11_5,Cluster3,-0.07966102966277826,0.7245429498074807,0.9468599763649252
20140700_S11_5,Cluster4,0.044607566346696784,0.8437394727309631,0.9626822342630375
20120600_S1S_4,Cluster1,0.19640592175400054,0.3934992305310323,0.9468599763649252
20120600_S1S_4,Cluster2,-0.2292026246203814,0.3048709613990779,0.9468599763649252
20120600_S1S_4,Cluster3,-0.2536723568694145,0.2546480477476374,0.9468599763649252
20120600_S1S_4,Cluster4,-0.21739130434782608,0.3311374194883423,0.9468599763649252
20120700_S1D_69,Cluster1,-0.361904466354445,0.15345337352025146,0.9468599763649252
20120700_S1D_69,Cluster2,0.18767189747826934,0.45583216844328467,0.9468599763649252
20120700_S1D_69,Cluster3,0.35079256051876806,0.1535019309379395,0.9468599763649252
20120700_S1D_69,Cluster4,0.023374100418794893,0.9266500112348957,0.9869620039404701
20120700_S1S_1,Cluster1,-0.06794466331307612,0.8254452378230708,0.957728128499845
20120700_S1S_1,Cluster2,0.3130976894311359,0.29758332481710204,0.9468599763649252
20120700_S1S_1,Cluster3,0.15611698501084575,0.6105332520760067,0.9468599763649252
20120700_S1S_1,Cluster4,-0.26726124191242434,0.3773738685752641,0.9468599763649252
20120700_S1D_45,Cluster1,-0.133608531424537,0.6788991226992955,0.9468599763649252
20120700_S1D_45,Cluster2,-0.03878955567713595,0.8998814368733359,0.9805910438764717
20120700_S1D_45,Cluster3,0,1,1
20120700_S1D_45,Cluster4,0.23145502494313788,0.44674159662419655,0.9468599763649252
20150700_S23_2,Cluster1,0.15442874888564248,0.650283652878135,0.9468599763649252
20150700_S23_2,Cluster2,0,1,1
20150700_S23_2,Cluster3,0.5829752480681661,0.04665076405445756,0.9468599763649252
20150700_S23_2,Cluster4,-0.12955005512625914,0.6882128190799857,0.9468599763649252
20140700_S33_15,Cluster1,-0.2534804458900097,0.45199989950361164,0.9468599763649252
20140700_S33_15,Cluster2,-0.1756087114325455,0.5851215415147575,0.9468599763649252
20140700_S33_15,Cluster3,-0.043747863925980714,0.8926135007265632,0.9774004905913329
20140700_S33_15,Cluster4,-0.3056992027188027,0.3338931364506603,0.9468599763649252
20120700_S1D_20,Cluster1,0.20527285517447824,0.4814295774811943,0.9468599763649252
20120700_S1D_20,Cluster2,0.1742145786794562,0.5346175985914328,0.9468599763649252
20120700_S1D_20,Cluster3,0.38610326399951517,0.1551786108614175,0.9468599763649252
20120700_S1D_20,Cluster4,-0.07715167498104596,0.7846294104066152,0.9468599763649252
20120700_S1D_52,Cluster1,-0.06895549669236886,0.8070881260504486,0.9505011755954059
20120700_S1D_52,Cluster2,-0.29584192003789045,0.2843547739303012,0.9468599763649252
20120700_S1D_52,Cluster3,-0.04539206495016018,0.8723828708845094,0.9736462288092923
20120700_S1D_52,Cluster4,-0.04539206495016018,0.8723828708845094,0.9736462288092923
20120700_S1D_95,Cluster1,0.08058056666760598,0.7585119180334383,0.9468599763649252
20120700_S1D_95,Cluster2,0.3068893541043044,0.21545352426645015,0.9468599763649252
20120700_S1D_95,Cluster3,0.11666071474121492,0.6448014000124289,0.9468599763649252
20120700_S1D_95,Cluster4,-0.18917836671539714,0.45215696441466924,0.9468599763649252
20120700_S1D_87,Cluster1,0.22766472551434291,0.3964339290721899,0.9468599763649252
20120700_S1D_87,Cluster2,-0.1681176576033272,0.5189371796195785,0.9468599763649252
20120700_S1D_87,Cluster3,-0.261034594076539,0.3115477021659474,0.9468599763649252
20120700_S1D_87,Cluster4,-0.33541019662496846,0.18813706218300874,0.9468599763649252
20120700_S1D_27,Cluster1,0.3495096502989328,0.14243673601224627,0.9468599763649252
20120700_S1D_27,Cluster2,0.1783003125386459,0.45199202779700154,0.9468599763649252
20120700_S1D_27,Cluster3,0.20778193945358533,0.3793757851512445,0.9468599763649252
20120700_S1D_27,Cluster4,-0.10902350925527989,0.6472816767743472,0.9468599763649252
20140700_S12_15,Cluster1,-0.15516067818566043,0.5018497953320626,0.9468599763649252
20140700_S12_15,Cluster2,-0.3887955632449433,0.07373014686747226,0.9468599763649252
20140700_S12_15,Cluster3,-0.058192099682738724,0.7970008887393265,0.9505011755954059
20140700_S12_15,Cluster4,0.409373235460192,0.058501042234779366,0.9468599763649252
20120700_S1D_6,Cluster1,-0.31065495856096087,0.27968513725816524,0.9468599763649252
20120700_S1D_6,Cluster2,-0.09952985829842469,0.7241530767678497,0.9468599763649252
20120700_S1D_6,Cluster3,0.12724180205607036,0.651343188270596,0.9468599763649252
20120700_S1D_6,Cluster4,-0.15343864365584955,0.5850927634871219,0.9468599763649252
20130700_S1X_7,Cluster1,0.29475244853660204,0.23508604804846045,0.9468599763649252
20130700_S1X_7,Cluster2,-0.15163497385800237,0.535462117019937,0.9468599763649252
20130700_S1X_7,Cluster3,-0.06105763160596734,0.8038969378805134,0.9505011755954059
20130700_S1X_7,Cluster4,-0.08262637621469437,0.7366560967608455,0.9468599763649252
PLSW01,Cluster1,-0.3132644744961457,0.32144741378807695,0.9468599763649252
PLSW01,Cluster2,-0.22395160411940418,0.46201662659457865,0.9468599763649252
PLSW01,Cluster3,0.13363062095621217,0.6633987735708271,0.9468599763649252
PLSW01,Cluster4,-0.0890870806374748,0.7722614932228553,0.9468599763649252
20120700_S1D_84,Cluster1,0.05290969632774658,0.8514484637997124,0.9635226341029497
20120700_S1D_84,Cluster2,-0.20397333313507288,0.4486124776544944,0.9468599763649252
20120700_S1D_84,Cluster3,-0.07833565732564039,0.7730651502970323,0.9468599763649252
20120700_S1D_84,Cluster4,-0.21917850187980234,0.41473728492280726,0.9468599763649252
20110800_S3S_27,Cluster1,-0.07028365392292525,0.8281704737652051,0.9588412947857279
20110800_S3S_27,Cluster2,0.13820519701621964,0.6525173389934222,0.9468599763649252
20110800_S3S_27,Cluster3,0.29206345641622106,0.33290381537702385,0.9468599763649252
20110800_S3S_27,Cluster4,0.1258149779897113,0.6821300810361466,0.9468599763649252
20120700_S1D_5,Cluster1,0.009551189862493249,0.9730503613308674,1
20120700_S1D_5,Cluster2,-0.3140371465106639,0.23620871254315,0.9468599763649252
20120700_S1D_5,Cluster3,-0.3070757767165103,0.24731777772499575,0.9468599763649252
20120700_S1D_5,Cluster4,-0.2129162589689508,0.42852278736125715,0.9468599763649252
20140700_S12_11,Cluster1,-0.025753319362312857,0.9218440318043251,0.9863071372403022
20140700_S12_11,Cluster2,-0.14060783700487903,0.5778699864334245,0.9468599763649252
20140700_S12_11,Cluster3,-0.11687050209397445,0.6442026246677142,0.9468599763649252
20140700_S12_11,Cluster4,0.11687050209397445,0.6442026246677142,0.9468599763649252
20110800_S3M_18,Cluster1,-0.19285819985950053,0.44324353709778386,0.9468599763649252
20110800_S3M_18,Cluster2,0.22963291909706599,0.34429385890971176,0.9468599763649252
20110800_S3M_18,Cluster3,-0.043662732569975916,0.8591277996794329,0.9678555917550458
20110800_S3M_18,Cluster4,0.13093073414159542,0.5931492845086876,0.9468599763649252
20130700_S3M_3,Cluster1,-0.4156397601967481,0.2036039604530968,0.9468599763649252
20130700_S3M_3,Cluster2,0.5814018997338111,0.04739016639418603,0.9468599763649252
20130700_S3M_3,Cluster3,0.3379631847096873,0.28262798891648866,0.9468599763649252
20130700_S3M_3,Cluster4,0.28968272975116055,0.36108560529212674,0.9468599763649252
